Syndicate Number,UMR,Insured Country,Risk Location,Insured Name,Insured - Policyholder Type,Risk Code,Risk / Certificate Reference,Original Currency,Sum Insured,Gross Annual Premium in Period,YOA,Part VII Indicator,Original Signing Number,Original Signing Date
1234,D12343999NFN,AUSTRALIA,AUSTRALIA,Prime Industries Corp,CORPORATE,3T,3T3258,GBP,19071516.73,3357921.43,2022,,24/65448,06/04/2022
7890,P78905732FLQ,ITALY,ITALY,Global Industries Inc,BUSINESS,9,96882,AUD,3144844.75,218575.68,2025,Y,24/27895,10/04/2025
6789,V67899056O4R,MEXICO,MEXICO,ABC Commercial Ltd,COMMERCIAL,6,61505,AUD,9866417.65,552822.63,2025,Y,23/14285,21/05/2025
3456,R34569369EE1,BRAZIL,BRAZIL,Metro Business Group,COMMERCIAL,3E,3E9880,USD,5157395.23,692824.27,2025,Y,24/81611,22/04/2025
6789,B67898368J5D,AUSTRALIA,AUSTRALIA,Mega Corporation plc,CORPORATE,9,94882,CAD,11966035.21,817559.36,2021,Y,23/89988,20/11/2021
6789,Z67891972UTV,JAPAN,JAPAN,International Trading Co,BUSINESS,7,76302,USD,853807.47,61930.09,2022,,23/47923,21/10/2022
4567,Y45677743795,FRANCE,FRANCE,International Trading Co,BUSINESS,em,em3174,AUD,6449401.72,473103.61,2025,Y,22/52217,07/05/2025
6789,M67898405C21,CANADA,CANADA,City Enterprises plc,COMMERCIAL,2E,2E9447,CHF,6582716.34,449352.93,2024,,23/58374,20/08/2024
7890,U7890686942O,GERMANY,GERMANY,City Enterprises plc,COMMERCIAL,7,74470,GBP,6755974.53,512427.6,2023,N,23/52318,26/05/2023
5678,V56781793BW4,MEXICO,MEXICO,Mega Corporation plc,CORPORATE,7,73035,USD,51115116.1,4736591.64,2025,Y,24/69836,01/01/2025
6789,I67892529XJN,NETHERLANDS,NETHERLANDS,International Trading Co,BUSINESS,9,91848,USD,8965639.52,482535.75,2022,N,23/40689,08/08/2022
1234,E12344705SQA,MEXICO,MEXICO,Williams Group,RETAIL,1E,1E2975,USD,142554.87,23600.16,2021,N,22/72613,06/02/2021
3456,K345670225E1,FRANCE,FRANCE,Jones & Co,RETAIL,1T,1T3340,AUD,76853.0,14573.91,2024,Y,21/89995,28/11/2024
2791,N279182484DD,JAPAN,JAPAN,Global Industries Inc,BUSINESS,3T,3T7291,AUD,1410161.68,92499.33,2024,N,24/51222,12/03/2024
3456,Y345614394XK,AUSTRALIA,AUSTRALIA,Prime Industries Corp,CORPORATE,8,89348,GBP,8026814.31,820348.92,2023,Y,24/48737,27/11/2023
623,P6232163T99,FRANCE,FRANCE,Worldwide Logistics Ltd,BUSINESS,5,53162,JPY,2301141.12,430193.89,2022,N,24/57895,07/10/2022
2791,A27915295H78,UNITED KINGDOM,UNITED KINGDOM,Brown Enterprises,RETAIL,eh,eh9300,GBP,760137.28,82374.51,2024,N,24/65518,25/12/2024
6789,I67892369LSH,CHINA,CHINA,International Trading Co,BUSINESS,8,89788,CHF,1594150.03,103174.17,2021,N,24/86865,21/11/2021
1234,H123424127EW,AUSTRALIA,AUSTRALIA,Smith Ltd,RETAIL,9,96067,JPY,1175986.88,64749.57,2023,,22/25655,07/01/2023
2791,F27917092E2J,SWITZERLAND,SWITZERLAND,Mega Corporation plc,CORPORATE,2E,2E1480,JPY,64931756.23,3807819.7,2021,N,24/45649,26/09/2021
1234,O12349368MRU,GERMANY,GERMANY,Metro Business Group,COMMERCIAL,9,93577,CHF,2710910.09,353831.12,2023,N,21/85223,12/12/2023
1234,A12345006BN7,UNITED KINGDOM,UNITED KINGDOM,Jones & Co,RETAIL,9,91579,CHF,1305066.02,76308.4,2022,,24/39427,14/06/2022
3456,C34567108EYB,BELGIUM,BELGIUM,Supreme Holdings Ltd,CORPORATE,em,em9450,AUD,55468243.6,4957273.14,2024,Y,24/19034,26/08/2024
4567,A45677044HUK,CHINA,CHINA,Urban Services Ltd,COMMERCIAL,3T,3T4974,GBP,7238036.33,434816.28,2023,N,23/87554,10/09/2023
3456,A34567718ATW,AUSTRALIA,AUSTRALIA,Global Industries Inc,BUSINESS,eh,eh6488,CAD,3856012.29,203361.59,2025,Y,24/50306,23/02/2025
3456,E34565584D76,MEXICO,MEXICO,Davis LLC,RETAIL,2T,2T7767,JPY,989682.46,86549.21,2025,,23/70091,13/02/2025
9012,S90122020P8I,SINGAPORE,SINGAPORE,Williams Group,RETAIL,6,66161,USD,1245608.74,76332.75,2021,N,23/51688,20/08/2021
4567,E45672731FQO,SPAIN,SPAIN,Davis LLC,RETAIL,1T,1T6870,USD,274306.87,14796.77,2022,Y,24/50410,26/08/2022
4567,G45676370FZ8,NETHERLANDS,NETHERLANDS,Brown Enterprises,RETAIL,1T,1T9412,USD,922015.94,52998.98,2021,Y,23/44100,31/03/2021
623,D6238570D2E,CHINA,CHINA,Global Industries Inc,BUSINESS,el,el4641,JPY,3576384.02,194022.32,2024,Y,22/62505,09/07/2024
1234,C123442396PE,GERMANY,GERMANY,Williams Group,RETAIL,7,73007,EUR,216694.32,41974.16,2025,Y,24/16637,28/03/2025
9012,A90127270YGH,SINGAPORE,SINGAPORE,XYZ Trading Co,COMMERCIAL,el,el5505,AUD,5826914.63,914843.78,2024,N,24/29481,18/01/2024
9012,N90128848CKE,NETHERLANDS,NETHERLANDS,XYZ Trading Co,COMMERCIAL,7,79614,USD,7457468.77,387382.27,2025,Y,21/60134,03/07/2025
7890,M78905430GLH,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,eh,eh1959,JPY,64984650.4,4777732.16,2025,N,23/86544,30/04/2025
2791,R2791191618U,AUSTRALIA,AUSTRALIA,Elite Consortium Ltd,CORPORATE,2T,2T6813,AUD,39205437.0,3343267.45,2021,Y,22/41005,31/10/2021
5678,S56783328UG9,UNITED KINGDOM,UNITED KINGDOM,Elite Consortium Ltd,CORPORATE,em,em9882,CHF,18067065.41,1819448.47,2023,N,22/74282,20/01/2023
1234,Q12348831A7H,AUSTRALIA,AUSTRALIA,Jones & Co,RETAIL,2T,2T6582,CHF,1121904.01,68889.25,2021,,22/52413,31/01/2021
623,Q62369788N7,SPAIN,SPAIN,Brown Enterprises,RETAIL,7,72655,AUD,1350910.79,80200.01,2022,N,23/52284,11/03/2022
2791,F27916846IVG,MEXICO,MEXICO,Premier Group International,CORPORATE,eh,eh5825,AUD,11304144.63,910427.46,2024,Y,22/10235,25/12/2024
9012,T9012621378H,UNITED STATES,UNITED STATES,United Manufacturing Corp,BUSINESS,el,el2705,CAD,1005157.7,75901.44,2024,N,22/53406,09/02/2024
3456,O34561186JIC,GERMANY,GERMANY,Premier Group International,CORPORATE,3T,3T2770,USD,45548739.64,2486887.26,2023,,21/16310,17/07/2023
7890,L78909946N32,MEXICO,MEXICO,Urban Services Ltd,COMMERCIAL,2E,2E4695,JPY,2809305.82,415823.51,2024,Y,24/19661,18/01/2024
4567,K456737875FC,FRANCE,FRANCE,Smith Ltd,RETAIL,3T,3T6536,EUR,305202.15,18584.21,2021,,24/14062,09/08/2021
2791,D27916424HGZ,ITALY,ITALY,Davis LLC,RETAIL,em,em5346,JPY,415322.91,63730.72,2025,,23/48980,02/05/2025
1234,E12341893MPK,CHINA,CHINA,Urban Services Ltd,COMMERCIAL,4,48869,CHF,2725844.1,175696.13,2021,Y,21/13373,16/04/2021
2791,Z27917512Q6J,FRANCE,FRANCE,Prime Industries Corp,CORPORATE,1T,1T7349,JPY,14337686.2,827433.53,2023,Y,23/59996,09/07/2023
2791,I279147064UF,BRAZIL,BRAZIL,ABC Commercial Ltd,COMMERCIAL,1E,1E2404,EUR,4575714.41,735618.0,2024,,23/80968,30/07/2024
9012,R90128779UIK,SINGAPORE,SINGAPORE,City Enterprises plc,COMMERCIAL,6,61568,GBP,3491736.36,176353.94,2022,,22/25765,18/08/2022
2791,B27917936CYH,JAPAN,JAPAN,International Trading Co,BUSINESS,2T,2T5225,CAD,2306454.51,218421.86,2022,N,21/21406,18/07/2022
8901,A890195612EF,CANADA,CANADA,Urban Services Ltd,COMMERCIAL,6,62641,EUR,15972434.56,831519.61,2024,Y,21/47498,01/10/2024
5678,B56783821JFV,MEXICO,MEXICO,City Enterprises plc,COMMERCIAL,3E,3E1635,JPY,16095299.95,987400.96,2024,N,23/41139,26/01/2024
7890,Z78905965L44,UNITED KINGDOM,UNITED KINGDOM,Mega Corporation plc,CORPORATE,em,em4734,EUR,13712807.31,2193168.13,2023,Y,23/68079,14/06/2023
4567,O456744636OR,GERMANY,GERMANY,United Manufacturing Corp,BUSINESS,7,77126,AUD,5346628.17,399716.11,2024,Y,22/18600,08/06/2024
8901,F890141585HC,INDIA,INDIA,Smith Ltd,RETAIL,2E,2E8478,CAD,842388.07,45301.09,2024,Y,23/36097,20/05/2024
5678,H56787102RQ8,FRANCE,FRANCE,Brown Enterprises,RETAIL,6,66730,JPY,192825.28,15563.76,2024,N,22/43903,18/12/2024
1234,S123445114XY,UNITED STATES,UNITED STATES,Worldwide Logistics Ltd,BUSINESS,1E,1E7709,JPY,662957.97,55109.14,2023,,21/99417,05/01/2023
7890,I78906004ZZJ,UNITED KINGDOM,UNITED KINGDOM,Continental Services plc,BUSINESS,8,86713,USD,510952.19,75336.47,2022,N,23/38601,27/08/2022
4567,A45679380984,SINGAPORE,SINGAPORE,Davis LLC,RETAIL,el,el5631,CHF,238242.12,16164.99,2025,N,21/73142,02/02/2025
5678,U56785895GSI,CANADA,CANADA,Mega Corporation plc,CORPORATE,8,87620,EUR,53038576.96,3857201.96,2023,,23/99228,13/03/2023
623,M6231578U93,HONG KONG,HONG KONG,Metro Business Group,COMMERCIAL,3E,3E4643,EUR,10261399.74,965955.29,2024,,24/98063,02/07/2024
8901,J89012599Q00,CHINA,CHINA,United Manufacturing Corp,BUSINESS,el,el3999,USD,3219444.13,178570.44,2023,,23/95778,15/02/2023
3456,Z34566428NVQ,NETHERLANDS,NETHERLANDS,ABC Commercial Ltd,COMMERCIAL,2T,2T8709,AUD,5858544.44,301236.25,2023,Y,21/71894,10/04/2023
8901,N890118855F9,SINGAPORE,SINGAPORE,Premier Group International,CORPORATE,el,el7704,AUD,10843281.77,554695.14,2021,,24/28772,11/06/2021
2791,U27911950AJ1,ITALY,ITALY,Supreme Holdings Ltd,CORPORATE,5,53595,EUR,12750833.24,694219.6,2021,N,21/26961,11/11/2021
6789,A67891618T08,MEXICO,MEXICO,Metro Business Group,COMMERCIAL,4,49700,JPY,11437948.65,574931.0,2024,Y,21/98702,03/01/2024
3456,D34567284SLC,NETHERLANDS,NETHERLANDS,Global Industries Inc,BUSINESS,9,95885,EUR,1107322.6,83208.45,2022,N,24/78195,02/11/2022
8901,P890168851F6,SPAIN,SPAIN,Elite Consortium Ltd,CORPORATE,4,41313,AUD,62457745.38,4861861.41,2023,Y,22/27197,19/04/2023
623,W6231612NX1,FRANCE,FRANCE,Prime Industries Corp,CORPORATE,6,61796,USD,51438055.72,3332293.87,2025,,21/96765,25/02/2025
623,M6233024TRF,HONG KONG,HONG KONG,ABC Commercial Ltd,COMMERCIAL,9,95933,GBP,7337659.33,509086.96,2021,N,21/96832,24/09/2021
4567,D45679381ZEE,SPAIN,SPAIN,ABC Commercial Ltd,COMMERCIAL,7,79154,AUD,11589704.96,625882.88,2025,Y,22/44471,25/09/2025
3456,B34569980RH7,NETHERLANDS,NETHERLANDS,Worldwide Logistics Ltd,BUSINESS,9,94842,JPY,649165.87,70450.87,2023,Y,21/98032,15/02/2023
1234,Y12349383C06,SPAIN,SPAIN,Jones & Co,RETAIL,8,88483,JPY,1748931.84,95289.09,2025,N,23/70853,26/01/2025
1234,Z12346123PE4,NETHERLANDS,NETHERLANDS,Mega Corporation plc,CORPORATE,el,el1158,GBP,36476584.85,2550455.39,2022,Y,22/53078,03/07/2022
7890,K78903996EOQ,GERMANY,GERMANY,Elite Consortium Ltd,CORPORATE,3E,3E8835,AUD,13674221.0,1748215.32,2025,N,22/24818,09/03/2025
623,F62372212W5,MEXICO,MEXICO,XYZ Trading Co,COMMERCIAL,1T,1T8914,JPY,5328630.79,517328.56,2022,N,21/63907,14/08/2022
623,W62395981UU,BELGIUM,BELGIUM,Williams Group,RETAIL,3E,3E9504,AUD,372719.42,60447.33,2021,,21/66734,05/12/2021
3456,R34561894A7S,SINGAPORE,SINGAPORE,Continental Services plc,BUSINESS,3T,3T9123,AUD,9668517.05,488477.66,2024,Y,21/74441,13/06/2024
3456,R34567203OIQ,INDIA,INDIA,United Manufacturing Corp,BUSINESS,3E,3E8341,GBP,4749339.33,364172.77,2023,Y,24/68598,11/06/2023
1234,M12347755BT3,UNITED KINGDOM,UNITED KINGDOM,Davis LLC,RETAIL,9,95990,AUD,592006.33,34405.12,2024,,22/95799,09/12/2024
7890,O78906439UWR,UNITED STATES,UNITED STATES,Worldwide Logistics Ltd,BUSINESS,3T,3T8414,CAD,2664212.85,358129.03,2023,Y,21/96364,24/04/2023
623,W6232741BFF,NETHERLANDS,NETHERLANDS,Elite Consortium Ltd,CORPORATE,3T,3T2752,CAD,79740719.57,4599172.33,2023,N,22/34581,03/03/2023
6789,D67897790BWY,JAPAN,JAPAN,Mega Corporation plc,CORPORATE,5,58381,CAD,75840356.38,4774099.61,2022,N,22/75382,03/01/2022
8901,W890138450EN,MEXICO,MEXICO,United Manufacturing Corp,BUSINESS,6,66273,JPY,3675623.77,326036.84,2021,,24/64875,08/11/2021
3456,Z34563185EV5,NETHERLANDS,NETHERLANDS,Urban Services Ltd,COMMERCIAL,4,45897,EUR,16901707.28,939455.64,2023,,23/82559,20/11/2023
3456,V345631739X8,NETHERLANDS,NETHERLANDS,Prime Industries Corp,CORPORATE,2T,2T9888,CHF,3795651.28,703484.02,2022,,23/25126,30/06/2022
8901,N89011209SAF,HONG KONG,HONG KONG,Mega Corporation plc,CORPORATE,7,74275,CHF,37646771.15,2194085.15,2024,N,22/47567,15/12/2024
4567,Y45679866B3D,NETHERLANDS,NETHERLANDS,United Manufacturing Corp,BUSINESS,el,el4675,GBP,3586579.26,494274.26,2022,,24/41142,19/09/2022
4567,Z456761228B0,SINGAPORE,SINGAPORE,XYZ Trading Co,COMMERCIAL,em,em8259,JPY,6799960.38,634717.64,2021,Y,23/87120,07/10/2021
9012,O901239069C8,JAPAN,JAPAN,Prime Industries Corp,CORPORATE,eh,eh2955,AUD,85771836.48,4864614.79,2022,N,21/66165,23/05/2022
8901,K89018640ZFF,CANADA,CANADA,Williams Group,RETAIL,2E,2E1833,USD,1018267.63,84641.23,2023,,23/74297,21/10/2023
8901,F89019529CSO,BELGIUM,BELGIUM,United Manufacturing Corp,BUSINESS,1T,1T7609,CAD,2153947.67,236668.78,2023,Y,23/38992,20/04/2023
5678,R56781144EMI,JAPAN,JAPAN,Urban Services Ltd,COMMERCIAL,3T,3T4994,EUR,2708886.92,150737.95,2023,Y,23/59987,28/02/2023
6789,Q67897143SSR,NETHERLANDS,NETHERLANDS,Williams Group,RETAIL,6,64154,AUD,1644163.78,82225.6,2023,N,21/22577,27/03/2023
8901,V890144925PD,GERMANY,GERMANY,United Manufacturing Corp,BUSINESS,1E,1E8130,AUD,6645561.67,498486.58,2025,,21/99921,20/03/2025
623,C6231889GJC,UNITED STATES,UNITED STATES,Jones & Co,RETAIL,9,95237,EUR,1496407.33,78053.8,2024,N,24/69129,18/11/2024
6789,R67891096XW1,SINGAPORE,SINGAPORE,Davis LLC,RETAIL,3T,3T1745,GBP,746609.7,85716.5,2024,,21/56884,14/09/2024
1234,J12348170N3B,NETHERLANDS,NETHERLANDS,Jones & Co,RETAIL,eh,eh9740,AUD,331619.02,47801.69,2023,Y,22/61248,07/10/2023
4567,R45673316EAV,SWITZERLAND,SWITZERLAND,Davis LLC,RETAIL,3E,3E9970,AUD,1347745.55,95634.85,2022,Y,23/37532,26/06/2022
3456,F34564014H4G,INDIA,INDIA,International Trading Co,BUSINESS,em,em1891,AUD,2304883.61,152889.26,2024,,24/94498,08/10/2024
1234,G123489828MY,CANADA,CANADA,Jones & Co,RETAIL,8,82639,GBP,660954.54,63722.18,2023,N,21/35362,12/06/2023
7890,S7890697138G,NETHERLANDS,NETHERLANDS,Worldwide Logistics Ltd,BUSINESS,3T,3T5033,CHF,1523954.62,101100.92,2024,Y,24/46264,03/07/2024
2791,L27916004RDX,BRAZIL,BRAZIL,ABC Commercial Ltd,COMMERCIAL,em,em5597,JPY,9424745.52,568276.93,2023,Y,22/44502,17/11/2023
1234,S123476371HB,INDIA,INDIA,Williams Group,RETAIL,em,em9904,GBP,967656.27,54415.53,2021,,24/95709,18/03/2021
5678,O56789210SOS,NETHERLANDS,NETHERLANDS,International Trading Co,BUSINESS,2T,2T3717,CAD,4002196.04,298358.08,2024,,22/68487,22/03/2024
2791,L27911662HRC,SPAIN,SPAIN,Metro Business Group,COMMERCIAL,7,74834,AUD,9825314.05,888988.24,2025,Y,22/77880,04/07/2025
6789,U67896309D8W,UNITED STATES,UNITED STATES,Williams Group,RETAIL,em,em5314,JPY,96312.63,17731.45,2024,,22/59369,30/11/2024
6789,M67894651SM5,GERMANY,GERMANY,Elite Consortium Ltd,CORPORATE,7,78898,AUD,55761182.41,3898117.65,2023,,21/75776,13/03/2023
7890,G78903461GNZ,INDIA,INDIA,Mega Corporation plc,CORPORATE,2T,2T4773,GBP,30060229.65,3668358.96,2022,N,23/24855,04/09/2022
7890,A78904992BUF,ITALY,ITALY,Urban Services Ltd,COMMERCIAL,2T,2T1642,CHF,1162265.6,222734.33,2024,,22/17328,26/03/2024
4567,C45674548Q95,UNITED KINGDOM,UNITED KINGDOM,Supreme Holdings Ltd,CORPORATE,6,64594,JPY,28772804.28,2077644.01,2022,N,22/86368,04/04/2022
9012,T90122127IND,BELGIUM,BELGIUM,XYZ Trading Co,COMMERCIAL,3E,3E9564,USD,5237869.18,453019.64,2025,,24/29603,07/11/2025
1234,C12348901X6T,UNITED STATES,UNITED STATES,Smith Ltd,RETAIL,5,58069,CHF,929296.03,90895.08,2022,,24/58546,23/01/2022
8901,L89012600PJ1,MEXICO,MEXICO,ABC Commercial Ltd,COMMERCIAL,2T,2T5641,CAD,9426089.27,562590.54,2024,,24/43791,06/04/2024
623,M6234365YLN,FRANCE,FRANCE,Jones & Co,RETAIL,7,77980,CHF,611538.95,42671.56,2021,,23/44249,02/10/2021
6789,Y67894337O2R,CANADA,CANADA,Metro Business Group,COMMERCIAL,3T,3T8925,CHF,16859151.37,876127.34,2025,N,23/85713,26/06/2025
6789,O67893650DS2,FRANCE,FRANCE,United Manufacturing Corp,BUSINESS,el,el1852,CAD,2195722.27,116183.07,2022,Y,24/93345,03/01/2022
1234,C12345310HCB,HONG KONG,HONG KONG,Brown Enterprises,RETAIL,5,57564,CHF,459221.52,51751.05,2022,,23/88311,30/01/2022
2791,G279115502SZ,JAPAN,JAPAN,Prime Industries Corp,CORPORATE,5,53776,GBP,50553638.61,2566110.9,2024,,21/57151,02/05/2024
623,V6237474OHA,SINGAPORE,SINGAPORE,Mega Corporation plc,CORPORATE,1T,1T2477,EUR,26981101.1,2716781.42,2022,,23/83284,26/10/2022
5678,O56787618UJO,AUSTRALIA,AUSTRALIA,Global Industries Inc,BUSINESS,el,el2185,EUR,2881993.07,335030.38,2023,,23/54560,01/03/2023
8901,M89018923118,CANADA,CANADA,City Enterprises plc,COMMERCIAL,em,em8548,CHF,1166697.39,168277.0,2023,,21/73172,01/03/2023
4567,Z45676172OMT,AUSTRALIA,AUSTRALIA,Worldwide Logistics Ltd,BUSINESS,4,45067,AUD,783321.1,107620.63,2021,N,21/62288,11/12/2021
5678,L567845806J8,MEXICO,MEXICO,Supreme Holdings Ltd,CORPORATE,6,69175,USD,16435702.96,1124722.28,2021,,22/40783,04/05/2021
4567,E45672747EC8,AUSTRALIA,AUSTRALIA,Elite Consortium Ltd,CORPORATE,2T,2T1108,USD,13428531.17,1318460.38,2022,,21/73214,10/07/2022
9012,F90129374KHU,CANADA,CANADA,ABC Commercial Ltd,COMMERCIAL,5,59613,CHF,10984574.95,907109.57,2023,N,24/80879,17/01/2023
8901,D89019490QYA,ITALY,ITALY,XYZ Trading Co,COMMERCIAL,4,47216,CAD,5315441.35,700801.96,2023,,21/52655,05/07/2023
9012,I901287228MG,CANADA,CANADA,Continental Services plc,BUSINESS,2E,2E4449,CHF,766347.22,136530.06,2023,N,23/57851,25/07/2023
4567,D456754222T4,SPAIN,SPAIN,International Trading Co,BUSINESS,2E,2E3389,CHF,1156726.48,126020.78,2024,,22/71995,05/01/2024
2791,Z27918972KUU,INDIA,INDIA,Elite Consortium Ltd,CORPORATE,5,52621,USD,8207841.2,1296547.18,2024,,22/17869,20/04/2024
4567,X45676483JMU,FRANCE,FRANCE,Metro Business Group,COMMERCIAL,el,el6638,AUD,2484446.57,208572.28,2024,Y,24/25890,28/06/2024
9012,Y90125663MYR,CHINA,CHINA,Continental Services plc,BUSINESS,7,72284,CHF,1494791.02,142850.17,2022,N,23/70784,20/11/2022
2791,U279176314CF,BELGIUM,BELGIUM,XYZ Trading Co,COMMERCIAL,8,86136,CAD,8492985.09,553075.54,2022,N,23/45058,06/11/2022
6789,N67893741GA0,SWITZERLAND,SWITZERLAND,Metro Business Group,COMMERCIAL,em,em2311,JPY,2300278.5,135380.93,2023,Y,22/62041,22/02/2023
1234,A12347504S9D,CHINA,CHINA,Davis LLC,RETAIL,em,em3544,JPY,402539.18,64650.54,2021,Y,24/50549,28/04/2021
3456,Q34563795BX4,SPAIN,SPAIN,Worldwide Logistics Ltd,BUSINESS,5,58801,AUD,8336273.69,443110.38,2023,N,23/81898,16/08/2023
2791,Q27919745LMT,BRAZIL,BRAZIL,ABC Commercial Ltd,COMMERCIAL,2E,2E8239,CHF,1418467.4,154970.16,2025,N,23/64028,14/05/2025
2791,L27915698QA7,INDIA,INDIA,Continental Services plc,BUSINESS,1E,1E5908,GBP,6697071.17,412790.58,2023,Y,24/48393,02/11/2023
3456,R34568161OF0,JAPAN,JAPAN,City Enterprises plc,COMMERCIAL,6,67199,EUR,2165864.83,266068.92,2021,Y,23/20382,05/08/2021
3456,U345697153O4,CANADA,CANADA,Supreme Holdings Ltd,CORPORATE,eh,eh3238,CAD,26585946.49,2167124.46,2025,N,21/93478,22/08/2025
9012,K90121317F8A,MEXICO,MEXICO,Global Industries Inc,BUSINESS,3E,3E5622,AUD,3457316.17,328214.65,2024,N,22/67464,05/01/2024
3456,K34567885L29,MEXICO,MEXICO,Continental Services plc,BUSINESS,2E,2E1519,GBP,4184992.27,258140.62,2021,N,21/29148,29/01/2021
4567,G4567509733E,MEXICO,MEXICO,International Trading Co,BUSINESS,1T,1T7304,CHF,584371.22,66507.44,2024,N,22/14392,11/04/2024
7890,M789061137F0,JAPAN,JAPAN,Urban Services Ltd,COMMERCIAL,6,69534,AUD,13673921.71,742014.63,2021,Y,23/73075,23/11/2021
4567,H45678113LGJ,JAPAN,JAPAN,Smith Ltd,RETAIL,3T,3T7484,GBP,695940.75,53609.36,2022,Y,21/15504,25/10/2022
7890,F78909190DW7,GERMANY,GERMANY,Global Industries Inc,BUSINESS,2E,2E1979,EUR,1150359.42,98227.41,2025,N,22/80300,24/02/2025
2791,Z279181870AN,CHINA,CHINA,Supreme Holdings Ltd,CORPORATE,2T,2T5107,EUR,25019635.72,2896777.7,2024,Y,24/67344,13/10/2024
4567,R45676696LQ5,JAPAN,JAPAN,United Manufacturing Corp,BUSINESS,9,93627,JPY,1824433.5,171159.45,2025,Y,22/68901,01/06/2025
4567,X456740395WN,UNITED KINGDOM,UNITED KINGDOM,Urban Services Ltd,COMMERCIAL,3T,3T4912,JPY,1160710.11,118064.08,2025,N,21/96283,03/10/2025
6789,T67895638LXD,MEXICO,MEXICO,United Manufacturing Corp,BUSINESS,6,62092,AUD,1438809.47,145151.6,2022,Y,22/33414,17/01/2022
3456,S34567366XSZ,FRANCE,FRANCE,Williams Group,RETAIL,5,51804,USD,300654.82,16377.4,2021,N,22/89423,06/02/2021
623,Z6231994M06,GERMANY,GERMANY,Metro Business Group,COMMERCIAL,8,81955,JPY,9631804.71,634233.21,2022,,23/79339,21/01/2022
1234,D12344784TGS,INDIA,INDIA,Jones & Co,RETAIL,1T,1T3931,USD,997772.19,79971.27,2023,,24/23829,23/11/2023
9012,F90123955TSX,HONG KONG,HONG KONG,Davis LLC,RETAIL,8,88258,JPY,173096.94,13257.43,2023,N,23/82100,16/06/2023
5678,T56784943UH1,HONG KONG,HONG KONG,Premier Group International,CORPORATE,eh,eh6898,AUD,50822902.27,3140785.03,2024,N,24/62047,01/01/2024
623,J6231107KH4,INDIA,INDIA,Global Industries Inc,BUSINESS,7,75521,GBP,1688650.21,244246.8,2023,,22/22358,20/01/2023
7890,S78905093I3D,CANADA,CANADA,Elite Consortium Ltd,CORPORATE,2E,2E4562,USD,18562870.65,1776991.58,2023,,21/52558,05/09/2023
2791,B27917251CC1,FRANCE,FRANCE,Premier Group International,CORPORATE,el,el8115,AUD,46199574.76,3406627.59,2024,N,21/39716,30/11/2024
9012,J90129591BTF,SINGAPORE,SINGAPORE,Davis LLC,RETAIL,8,84617,CAD,768729.77,38829.19,2021,Y,21/98294,21/07/2021
7890,N789057472FM,GERMANY,GERMANY,Continental Services plc,BUSINESS,7,71807,CHF,2760929.06,322598.67,2025,,24/44413,13/02/2025
6789,P67894245RXH,SPAIN,SPAIN,United Manufacturing Corp,BUSINESS,4,49589,CAD,698673.97,95802.11,2025,Y,22/19390,17/05/2025
6789,V67897776PML,GERMANY,GERMANY,Davis LLC,RETAIL,8,81396,CHF,210198.17,28365.98,2023,N,22/55838,12/11/2023
7890,G78907124F0D,UNITED STATES,UNITED STATES,Global Industries Inc,BUSINESS,2E,2E4982,JPY,1242625.33,133955.16,2025,,22/47707,08/01/2025
5678,K567844240HT,MEXICO,MEXICO,Williams Group,RETAIL,3E,3E9991,JPY,396162.35,21470.49,2021,N,22/97590,10/01/2021
6789,I67893790CHZ,INDIA,INDIA,Williams Group,RETAIL,em,em1869,AUD,162418.44,12622.21,2025,N,21/18729,18/07/2025
4567,U45677332IN9,UNITED KINGDOM,UNITED KINGDOM,Mega Corporation plc,CORPORATE,el,el6168,GBP,46315410.25,2346785.72,2023,N,21/34434,12/04/2023
8901,H89019673KR0,UNITED KINGDOM,UNITED KINGDOM,Smith Ltd,RETAIL,6,66681,AUD,171577.5,15643.7,2024,,23/56580,16/11/2024
4567,M4567148278I,UNITED STATES,UNITED STATES,Premier Group International,CORPORATE,6,67436,EUR,87442529.06,4862616.95,2022,,22/21507,15/07/2022
8901,H89013502PLV,AUSTRALIA,AUSTRALIA,City Enterprises plc,COMMERCIAL,el,el9883,AUD,7408468.69,835364.86,2025,Y,22/95520,12/03/2025
9012,J901295826P6,JAPAN,JAPAN,International Trading Co,BUSINESS,8,83589,CAD,1907253.5,126899.41,2025,N,21/83051,30/09/2025
1234,Y123462215OO,SPAIN,SPAIN,Brown Enterprises,RETAIL,3T,3T5485,CAD,1245565.77,93290.72,2022,Y,22/23994,09/03/2022
2791,T27914804IAC,CANADA,CANADA,Continental Services plc,BUSINESS,eh,eh3196,CHF,2826380.19,307225.71,2021,,24/95140,11/07/2021
2791,G27914707B1A,SPAIN,SPAIN,Worldwide Logistics Ltd,BUSINESS,5,57767,JPY,3093161.6,396271.82,2024,Y,22/36812,03/02/2024
2791,O27915043P1V,MEXICO,MEXICO,Elite Consortium Ltd,CORPORATE,el,el6126,CHF,22268639.62,1956556.56,2024,N,21/78242,25/02/2024
7890,X78901643USW,AUSTRALIA,AUSTRALIA,ABC Commercial Ltd,COMMERCIAL,el,el4110,GBP,4809032.19,556849.34,2024,N,24/62171,04/06/2024
