Syndicate_Number,Year_of_Account,LOB_Code,Currency,Net_Written_Premium,Net_Earned_Premium,Paid_Claims_Net,Case_Reserves_Net,IBNR_Net_Best_Estimate,RI_Recoveries_Expected,Net_Ultimate_Loss_Ratio,Actuarial_Method,As_At_Date
5000,2024,E1,GBP,21115195,17991681,10004046,2228288,3211208,4417981,0.6372,Chain Ladder,2024-12-31
1910,2018,A1,GBP,26970910,24923851,11998565,1874880,4107165,3685714,0.5996,Chain Ladder,2024-12-31
1910,2018,A2,GBP,28352269,26586331,11633522,3024281,3575066,6941144,0.6277,Expected Loss Ratio,2024-12-31
1910,2018,D1,GBP,14740846,13838698,4625034,992411,2436892,2975586,0.5531,BF Method,2024-12-31
1910,2018,D2,GBP,15789115,13962747,5085108,989770,1620155,2810646,0.5082,BF Method,2024-12-31
1910,2018,E1,GBP,22354769,21074361,5766626,1728243,2499413,2263425,0.522,BF Method,2024-12-31
1910,2019,A1,GBP,13912359,12938194,3546970,656032,1333538,1992792,0.5607,Expected Loss Ratio,2024-12-31
1910,2019,A2,GBP,11283634,10076649,3734122,461318,952193,1645980,0.5106,BF Method,2024-12-31
1910,2019,D1,GBP,22009628,20817860,8940447,2536089,3591878,3858265,0.6571,Chain Ladder,2024-12-31
1910,2019,D2,GBP,16202153,14242991,4367098,1646479,1565508,3851883,0.5864,Expected Loss Ratio,2024-12-31
1910,2019,E1,GBP,28920183,24865974,8931818,1862882,2973999,7086486,0.5845,Expected Loss Ratio,2024-12-31
1910,2020,A1,GBP,32247134,29274488,13428887,2049211,2961021,4784571,0.6358,Expected Loss Ratio,2024-12-31
1910,2020,A2,GBP,16389773,14860058,5862510,1235708,1723175,1849416,0.5602,BF Method,2024-12-31
1910,2020,D1,GBP,9445289,8324379,3640987,753952,1018371,1570611,0.5277,BF Method,2024-12-31
1910,2020,D2,GBP,34309812,29258285,12378408,3522083,3923215,5542365,0.5841,Chain Ladder,2024-12-31
1910,2020,E1,GBP,23293048,20668180,9741969,2602758,4256571,4356926,0.6573,Chain Ladder,2024-12-31
1910,2021,A1,GBP,29350921,26306666,10465037,2031673,4178248,5885208,0.5252,Chain Ladder,2024-12-31
1910,2021,A2,GBP,6670368,5741218,2321963,599406,819613,1653757,0.554,Expected Loss Ratio,2024-12-31
1910,2021,D1,GBP,25233676,22923829,10242399,2575601,4181591,2983034,0.6729,Expected Loss Ratio,2024-12-31
1910,2021,D2,GBP,12673870,10945664,5576833,1117413,1147627,3106261,0.6124,Expected Loss Ratio,2024-12-31
1910,2021,E1,GBP,23863530,22206486,9788403,1537477,2029365,5738694,0.6438,Chain Ladder,2024-12-31
1910,2022,A1,GBP,11122482,9569346,3072602,877185,1278547,1524679,0.604,Chain Ladder,2024-12-31
1910,2022,A2,GBP,23127542,21555495,9438343,1809324,3599298,5721856,0.5809,Expected Loss Ratio,2024-12-31
1910,2022,D1,GBP,32469505,29002910,13980375,2148363,5832014,6252775,0.6719,Expected Loss Ratio,2024-12-31
1910,2022,D2,GBP,19151888,17326102,6064876,1115115,2456818,4045830,0.5342,Expected Loss Ratio,2024-12-31
1910,2022,E1,GBP,36082263,32062052,14276594,2615396,5512950,5097601,0.5735,Chain Ladder,2024-12-31
1910,2023,A1,GBP,4877079,4335444,1694594,226453,643659,575587,0.5567,Expected Loss Ratio,2024-12-31
1910,2023,A2,GBP,32828506,31064947,9855767,2542629,2835381,7749456,0.5085,Chain Ladder,2024-12-31
1910,2023,D1,GBP,27008039,23526108,11682357,2147686,3441796,6188981,0.6001,Chain Ladder,2024-12-31
1910,2023,D2,GBP,13160464,11632917,4988399,1191034,1276844,2735815,0.5704,Expected Loss Ratio,2024-12-31
1910,2023,E1,GBP,23329280,21787973,9506174,2815408,3658743,2571621,0.6847,Chain Ladder,2024-12-31
1910,2024,A1,GBP,37022866,31948593,13271757,4256860,4429969,6620246,0.6551,Expected Loss Ratio,2024-12-31
1910,2024,A2,GBP,30096804,27788010,8029114,2264579,3244002,3142957,0.5135,Expected Loss Ratio,2024-12-31
1910,2024,D1,GBP,34971535,32424709,14321981,3151246,2744746,4711721,0.5647,Chain Ladder,2024-12-31
1910,2024,D2,GBP,28775404,24644320,11871520,1713492,5104543,4690633,0.6512,Chain Ladder,2024-12-31
1910,2024,E1,GBP,32630472,30479077,15484267,2387726,5234163,6231767,0.6527,BF Method,2024-12-31
2010,2018,A1,GBP,11940017,10387497,4380239,1031027,1428808,2221642,0.6978,Chain Ladder,2024-12-31
2010,2018,A2,GBP,13877647,12892339,3874759,671228,2384193,2487976,0.5868,Chain Ladder,2024-12-31
2010,2018,D1,GBP,16659312,14169138,5759020,1154896,2326246,2017182,0.5066,BF Method,2024-12-31
2010,2018,D2,GBP,15435564,14244376,5977564,972740,1545810,3761053,0.6365,BF Method,2024-12-31
2010,2018,E1,GBP,36611493,33165243,10261591,1810963,4113142,7057664,0.5704,BF Method,2024-12-31
2010,2019,A1,GBP,7755845,6993636,2286475,618287,615407,923557,0.6138,Expected Loss Ratio,2024-12-31
2010,2019,A2,GBP,25207651,22157264,8882450,1513921,2345393,5626326,0.5045,Chain Ladder,2024-12-31
2010,2019,D1,GBP,22331983,20887539,8389723,1495050,2206380,4160523,0.515,Chain Ladder,2024-12-31
2010,2019,D2,GBP,39637521,35558735,18383054,2694662,3178581,4622970,0.6395,BF Method,2024-12-31
2010,2019,E1,GBP,31280057,28980146,8494188,2326703,4354246,4697676,0.5522,Expected Loss Ratio,2024-12-31
2010,2020,A1,GBP,7182795,6786302,2834608,590695,1013135,796836,0.5471,Chain Ladder,2024-12-31
2010,2020,A2,GBP,26209303,23845610,11563800,1606837,4000820,6355393,0.6962,Chain Ladder,2024-12-31
2010,2020,D1,GBP,21153511,19030960,7058123,1568600,2808756,2445540,0.6447,Chain Ladder,2024-12-31
2010,2020,D2,GBP,4439032,4120230,1550107,428958,573584,461451,0.6862,Expected Loss Ratio,2024-12-31
2010,2020,E1,GBP,4214325,3904859,1694556,316387,506412,454392,0.6105,Chain Ladder,2024-12-31
2010,2021,A1,GBP,10756657,10200037,3541461,628034,1255091,2523210,0.5876,Chain Ladder,2024-12-31
2010,2021,A2,GBP,18983332,16566992,6993663,1751246,2725639,3574421,0.5464,Expected Loss Ratio,2024-12-31
2010,2021,D1,GBP,6072224,5598485,2941344,371644,605445,620792,0.6982,Chain Ladder,2024-12-31
2010,2021,D2,GBP,21964695,20109137,5847267,1220706,2560081,3348520,0.5087,BF Method,2024-12-31
2010,2021,E1,GBP,11212538,10582808,3622571,1065521,1885876,1249712,0.6313,Chain Ladder,2024-12-31
2010,2022,A1,GBP,32765588,30407148,11324046,3060798,4523511,7903520,0.6426,BF Method,2024-12-31
2010,2022,A2,GBP,24398261,20870266,11236881,2349186,3619146,4282304,0.6396,BF Method,2024-12-31
2010,2022,D1,GBP,8264427,7831320,2319956,689027,705774,996439,0.5407,BF Method,2024-12-31
2010,2022,D2,GBP,12526857,11199357,4315520,1113760,786741,1694455,0.5072,Chain Ladder,2024-12-31
2010,2022,E1,GBP,21139430,19717124,5582928,1267386,2698451,3332134,0.5556,BF Method,2024-12-31
2010,2023,A1,GBP,4264899,3644106,1467803,282370,566777,672572,0.6726,Chain Ladder,2024-12-31
2010,2023,A2,GBP,23478140,22156846,8593822,1847663,2145665,5034874,0.5063,BF Method,2024-12-31
2010,2023,D1,GBP,17532031,16356051,6626869,1402014,2869711,2649820,0.6515,Expected Loss Ratio,2024-12-31
2010,2023,D2,GBP,6833163,6459029,3298430,491512,1348587,1250428,0.6615,Expected Loss Ratio,2024-12-31
2010,2023,E1,GBP,34105128,31612085,10530798,3510673,4070875,7089877,0.5848,Chain Ladder,2024-12-31
2010,2024,A1,GBP,11849827,10881220,4299084,1452744,2090442,1683919,0.6815,BF Method,2024-12-31
2010,2024,A2,GBP,25651412,22507241,8360260,1655138,3742654,2713686,0.6142,Expected Loss Ratio,2024-12-31
2010,2024,D1,GBP,3828064,3376731,1063581,196657,408451,709210,0.5249,BF Method,2024-12-31
2010,2024,D2,GBP,3595302,3228655,1500168,217110,278459,880427,0.5933,Chain Ladder,2024-12-31
2010,2024,E1,GBP,21551954,20373694,8523917,1549196,3830683,3937912,0.6794,BF Method,2024-12-31
2525,2018,A1,GBP,36214118,31313992,12090425,1616623,2675415,7045482,0.5254,Chain Ladder,2024-12-31
2525,2018,A2,GBP,15365176,13951411,4526827,1484871,1281427,3519939,0.6369,Expected Loss Ratio,2024-12-31
2525,2018,D1,GBP,20384869,19049519,9986368,1899222,1814321,2087771,0.6951,Chain Ladder,2024-12-31
2525,2018,D2,GBP,26469959,22799058,6536743,1386872,3075659,4659789,0.5218,Expected Loss Ratio,2024-12-31
2525,2018,E1,GBP,30915252,27153126,7272360,2236943,2938966,5069214,0.5143,BF Method,2024-12-31
2525,2019,A1,GBP,28146738,25675219,8329632,1412443,4807124,6924806,0.5941,Expected Loss Ratio,2024-12-31
2525,2019,A2,GBP,4713644,4154184,1633222,378875,641328,620890,0.5212,Expected Loss Ratio,2024-12-31
2525,2019,D1,GBP,26088988,23695809,11615059,1705280,4617718,4091430,0.688,Expected Loss Ratio,2024-12-31
2525,2019,D2,GBP,8264352,7844786,3538631,1026724,1333272,2014797,0.691,Expected Loss Ratio,2024-12-31
2525,2019,E1,GBP,31056881,29126632,13014395,2656069,4504903,3670499,0.6078,Expected Loss Ratio,2024-12-31
2525,2020,A1,GBP,32596177,29581825,13283274,2072749,4844886,4213171,0.5634,BF Method,2024-12-31
2525,2020,A2,GBP,18494812,15934051,5710704,1675880,3044324,3925121,0.5912,BF Method,2024-12-31
2525,2020,D1,GBP,8347910,7859252,3076003,669111,956201,1467950,0.5704,BF Method,2024-12-31
2525,2020,D2,GBP,18419154,15887038,6911758,1782480,2186435,4126214,0.6139,Expected Loss Ratio,2024-12-31
2525,2020,E1,GBP,12270428,10848987,3699284,921033,1607362,2691866,0.6211,Chain Ladder,2024-12-31
2525,2021,A1,GBP,36165216,33994841,16153698,1847824,3211653,7807952,0.6265,BF Method,2024-12-31
2525,2021,A2,GBP,34531788,29469689,12977003,3337154,6678311,4107890,0.6486,Chain Ladder,2024-12-31
2525,2021,D1,GBP,37554158,35316908,14068013,3040428,5569680,8930132,0.6734,Expected Loss Ratio,2024-12-31
2525,2021,D2,GBP,22689196,21324109,7456998,1683626,3552871,5323201,0.5238,Chain Ladder,2024-12-31
2525,2021,E1,GBP,7949449,7113878,2948783,643529,1391662,1218202,0.6477,BF Method,2024-12-31
2525,2022,A1,GBP,35018044,32299619,14049568,3631037,4744409,7354365,0.64,Chain Ladder,2024-12-31
2525,2022,A2,GBP,3522358,3222747,1228727,269927,461057,547660,0.6187,Expected Loss Ratio,2024-12-31
2525,2022,D1,GBP,21743477,19128494,8274117,2043502,4217153,2490384,0.689,Expected Loss Ratio,2024-12-31
2525,2022,D2,GBP,37106596,32738407,13539702,2428171,3617762,6085609,0.6688,Expected Loss Ratio,2024-12-31
2525,2022,E1,GBP,17138541,16075238,5467611,1152511,1504812,2429189,0.5861,BF Method,2024-12-31
2525,2023,A1,GBP,21377661,18532980,9344196,1352833,2925618,2854879,0.5973,Chain Ladder,2024-12-31
2525,2023,A2,GBP,18547418,16148945,8241311,1826318,1467325,2247028,0.6333,Chain Ladder,2024-12-31
2525,2023,D1,GBP,39227361,35258987,16605531,2787469,4069177,5070917,0.6076,Expected Loss Ratio,2024-12-31
2525,2023,D2,GBP,31622102,29506702,11007169,1859352,5051770,5632974,0.6464,Chain Ladder,2024-12-31
2525,2023,E1,GBP,32823518,28185107,10924282,2399233,5347482,5710909,0.6778,BF Method,2024-12-31
2525,2024,A1,GBP,8306101,7121941,2678659,611885,1086641,1107753,0.6489,Expected Loss Ratio,2024-12-31
2525,2024,A2,GBP,37416385,34377940,17036016,1990054,3277658,4157457,0.6344,Expected Loss Ratio,2024-12-31
2525,2024,D1,GBP,37983636,34797304,15266864,1788594,5013016,8592455,0.5635,Chain Ladder,2024-12-31
2525,2024,D2,GBP,19502991,18416991,6706117,1095688,1514605,3050879,0.5274,Chain Ladder,2024-12-31
2525,2024,E1,GBP,36334744,34066961,14867493,3350938,5154340,4715739,0.5565,Chain Ladder,2024-12-31
