Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
1910,2021,D1,GBP,17177429,14701305,4932489,1259442,2218882,2526854,1491505,0.5554,2024-12-31
1910,2021,D2,GBP,13117908,11464556,4256948,908939,1850413,2211786,1781897,0.5604,2024-12-31
1910,2021,E1,GBP,23071580,20683264,6771487,1924843,3002340,3200111,3020816,0.5621,2024-12-31
1910,2022,A1,GBP,23063004,20955443,6560264,2686845,4272033,3430827,2823079,0.6608,2024-12-31
1910,2022,A2,GBP,34929362,31910763,9127299,3895937,4447687,7860759,4302028,0.5668,2024-12-31
1910,2022,D1,GBP,41073405,38860994,17231929,3168692,9505806,11929765,5873576,0.7405,2024-12-31
1910,2022,D2,GBP,48826037,41504782,24717784,5387287,9798163,13371935,5707300,0.7444,2024-12-31
1910,2022,E1,GBP,28583257,24903889,13394156,2631393,3743500,6301032,2269107,0.7185,2024-12-31
1910,2023,A1,GBP,11020678,9503105,3063516,1079056,1427380,1985467,1328071,0.6291,2024-12-31
1910,2023,A2,GBP,26361015,24899055,11314262,3792758,5585771,4877887,3819149,0.7268,2024-12-31
1910,2023,D1,GBP,26584777,23819426,9531675,1669900,4740226,5412865,1648854,0.6183,2024-12-31
1910,2023,D2,GBP,36979316,31467839,9208601,3169187,5893078,6066172,3237216,0.5509,2024-12-31
1910,2023,E1,GBP,10445802,9556965,3127867,761870,2338319,2470643,1484184,0.7075,2024-12-31
1910,2024,A1,GBP,28689075,25465502,12395094,2961597,6787677,7738992,5287182,0.7444,2024-12-31
1910,2024,A2,GBP,13372761,12618868,4583017,1049593,1322871,2201633,2046821,0.6425,2024-12-31
1910,2024,D1,GBP,29012962,27029290,10028892,3086672,3315186,6759490,4183368,0.5883,2024-12-31
1910,2024,D2,GBP,7469340,7024546,2771269,547419,856691,1649045,721749,0.6062,2024-12-31
1910,2024,E1,GBP,23612479,21237090,8864456,2601704,4124595,5274086,2896183,0.6638,2024-12-31
2010,2018,A1,GBP,9386277,8678526,2746202,1211684,2012174,2357494,1311815,0.6676,2024-12-31
2010,2018,A2,GBP,23409838,21485499,9608299,2331860,3534158,3451460,2534591,0.5884,2024-12-31
2010,2018,D1,GBP,35462466,31657749,11748602,3220565,6260898,5164518,4423829,0.5504,2024-12-31
2010,2018,D2,GBP,32304979,29656531,10550203,2660081,5896738,7361252,2611921,0.6048,2024-12-31
2010,2018,E1,GBP,23651769,21363248,8587419,2415263,3764534,6524990,3837585,0.7337,2024-12-31
2010,2019,A1,GBP,20141638,17974035,6342579,1877225,2746735,3937133,2911976,0.7456,2024-12-31
2010,2019,A2,GBP,11491178,10263861,2599693,1147382,2151555,2350035,875102,0.5556,2024-12-31
2010,2019,D1,GBP,36781182,32517514,9152211,2931637,6788862,8545031,4756311,0.5977,2024-12-31
2010,2019,D2,GBP,46578407,40037265,15859699,3341108,10244828,11386557,4651816,0.6377,2024-12-31
2010,2019,E1,GBP,9363969,8017432,4238925,697839,1800507,1894585,762644,0.7065,2024-12-31
2010,2020,A1,GBP,8744000,7690275,2977163,634182,1738441,1427260,1099205,0.6619,2024-12-31
2010,2020,A2,GBP,49273330,44116438,17930336,4748412,9111825,7323437,6571415,0.6748,2024-12-31
2010,2020,D1,GBP,6742956,5952812,1977908,476471,1162497,922569,943758,0.6408,2024-12-31
2010,2020,D2,GBP,17993251,15520945,7268044,1782447,3238777,4263096,1681836,0.7309,2024-12-31
2010,2020,E1,GBP,14239058,12189333,4984972,1450387,3454108,3544277,1481635,0.7094,2024-12-31
2010,2021,A1,GBP,41315539,35727236,14350269,3912076,6518650,5873397,5475740,0.7051,2024-12-31
2010,2021,A2,GBP,14703967,13244021,5370792,1534496,1935246,1973794,1073706,0.5615,2024-12-31
2010,2021,D1,GBP,18506412,16362540,7855690,2217623,4532446,4186581,1958457,0.7071,2024-12-31
2010,2021,D2,GBP,43816488,38714761,14236160,3860959,4968366,10903904,6875043,0.6632,2024-12-31
2010,2021,E1,GBP,38281344,32553295,10614941,2796975,6247096,5633712,4778532,0.5939,2024-12-31
2010,2022,A1,GBP,27247602,24184731,10082237,3539941,2933888,3915436,2979209,0.7115,2024-12-31
2010,2022,A2,GBP,42224723,37117964,11089702,3836784,7334076,5051740,2527378,0.573,2024-12-31
2010,2022,D1,GBP,18275810,15934578,5307732,1302296,3543372,2763581,1435042,0.6068,2024-12-31
2010,2022,D2,GBP,16816355,15825281,4909639,2027005,2728343,4319762,1409523,0.7186,2024-12-31
2010,2022,E1,GBP,19108791,16701369,7505711,1939235,3949115,4616828,2914899,0.611,2024-12-31
2010,2023,A1,GBP,34106326,29213355,10972496,4762322,7647306,5898869,3879081,0.7257,2024-12-31
2010,2023,A2,GBP,30115848,26892067,10918063,3549801,5591987,5866373,4216219,0.6136,2024-12-31
2010,2023,D1,GBP,24742269,21841684,7286051,3145101,5685006,6485993,4295807,0.7079,2024-12-31
2010,2023,D2,GBP,37815606,32451113,12112640,3723096,3647546,6752878,4760369,0.5918,2024-12-31
2010,2023,E1,GBP,48290019,42853847,18789340,3986664,9890502,10316483,5832728,0.7002,2024-12-31
2010,2024,A1,GBP,38204930,34694610,14568553,4410789,6895859,5947314,5769781,0.6448,2024-12-31
2010,2024,A2,GBP,35338579,31436846,12559013,4823166,6748726,9885307,3986712,0.7226,2024-12-31
2010,2024,D1,GBP,41946917,38807705,11617790,3612041,4662092,4952067,4205571,0.567,2024-12-31
2010,2024,D2,GBP,27573675,24726833,9155031,3160655,3737849,4842545,2223310,0.6352,2024-12-31
2010,2024,E1,GBP,20689408,17743005,8365984,1615338,3123979,3859916,1394123,0.6031,2024-12-31
2525,2018,A1,GBP,23550564,20249738,7297559,1798015,3291335,4144519,2586954,0.7353,2024-12-31
2525,2018,A2,GBP,25314898,23463069,11566835,2106982,4792247,4027174,4039151,0.699,2024-12-31
2525,2018,D1,GBP,41448544,35266634,14871652,5532545,9309180,8523965,4883837,0.7325,2024-12-31
2525,2018,D2,GBP,43920039,37384257,18371311,6129471,10485457,11495970,4133102,0.7016,2024-12-31
2525,2018,E1,GBP,19084474,17206228,7824914,2163164,3624537,3597192,2692689,0.6449,2024-12-31
2525,2019,A1,GBP,26010096,23223876,12767931,2651846,4446956,6932023,1955009,0.7192,2024-12-31
2525,2019,A2,GBP,14324791,12359924,6511216,962546,2975115,3497337,1439254,0.6655,2024-12-31
2525,2019,D1,GBP,33128500,30652562,13231913,3557081,4417159,6678339,3895526,0.6351,2024-12-31
2525,2019,D2,GBP,7161508,6197347,3607000,699660,1451485,1686236,1005510,0.7344,2024-12-31
2525,2019,E1,GBP,31231907,27184890,12050586,3575374,4372672,5166271,4320469,0.746,2024-12-31
2525,2020,A1,GBP,35302022,31082178,10801627,4007621,4439245,8740680,4558343,0.6778,2024-12-31
2525,2020,A2,GBP,6801101,5828197,2751837,512827,785359,1325846,441385,0.5873,2024-12-31
2525,2020,D1,GBP,8855617,7537057,2750886,1054888,1260583,2197912,659345,0.6237,2024-12-31
2525,2020,D2,GBP,33079234,28344811,14662622,3984689,3758650,5150077,3520377,0.6457,2024-12-31
2525,2020,E1,GBP,49613479,45166669,21814865,5079737,8015467,10782448,4521906,0.645,2024-12-31
2525,2021,A1,GBP,5499511,4919714,2663835,660367,820365,1093631,762824,0.7482,2024-12-31
2525,2021,A2,GBP,37947675,34441813,15134580,3137863,7947494,7096279,4995768,0.642,2024-12-31
2525,2021,D1,GBP,24961446,23272628,10270472,2218976,2915385,5073620,2584447,0.6282,2024-12-31
2525,2021,D2,GBP,30814430,26757538,12873128,3144032,7651381,5593826,5202205,0.7322,2024-12-31
2525,2021,E1,GBP,23372814,21123735,10188316,1811396,5014502,6460221,4012696,0.7265,2024-12-31
2525,2022,A1,GBP,32600409,29512576,17046195,2626816,4173613,8620953,3633310,0.7485,2024-12-31
2525,2022,A2,GBP,35261801,30703762,8497860,2110572,5710046,6888983,3479918,0.583,2024-12-31
2525,2022,D1,GBP,28062478,26254617,10183367,1983172,3393195,7523246,2924841,0.6992,2024-12-31
2525,2022,D2,GBP,36154991,30978453,13204626,2905791,7952869,5334239,5217587,0.647,2024-12-31
2525,2022,E1,GBP,15829124,13483352,3977240,1196575,2375600,2571979,1032211,0.5841,2024-12-31
2525,2023,A1,GBP,5752331,4977777,2000825,479744,618627,1320969,522163,0.6855,2024-12-31
2525,2023,A2,GBP,8204852,7639957,3485909,1010166,1938643,1636853,860723,0.7173,2024-12-31
2525,2023,D1,GBP,8517528,7281349,2927238,685433,1140394,2177389,741467,0.6696,2024-12-31
2525,2023,D2,GBP,6076321,5765997,1931590,459506,1093848,940919,895550,0.6343,2024-12-31
2525,2023,E1,GBP,49567584,42960459,15177840,3204139,6231582,9036945,3715089,0.5836,2024-12-31
2525,2024,A1,GBP,18899541,16811262,7358219,1716303,2383883,3685955,1423965,0.7369,2024-12-31
2525,2024,A2,GBP,48888711,43458087,16118718,3196013,9384532,9893369,4657443,0.6132,2024-12-31
2525,2024,D1,GBP,9518524,8482048,4361954,1037832,2409109,2370431,1513511,0.7271,2024-12-31
2525,2024,D2,GBP,43198705,40861804,14638571,5001222,7301188,8470259,6205540,0.5843,2024-12-31
2525,2024,E1,GBP,13920877,12717213,5707968,1130941,2748573,2543619,1289424,0.6164,2024-12-31
