Syndicate_Number,Pure_Year_of_Account,LOB_Code,Currency,Outstanding_Claims,IBNR_Reserve,Total_Reserve,Number_Outstanding_Claims,Average_Outstanding_Claim,Reserve_to_Premium_Ratio,As_At_Date
2525,2021,A2,GBP,8155712,1919058,10074770,195,28616,0.4314,2024-12-31
2525,2021,D1,GBP,13619015,6430767,20049782,238,412697,0.7824,2024-12-31
2525,2021,D2,GBP,2617757,1886848,4504605,136,10306,0.715,2024-12-31
2525,2021,E1,GBP,2517925,9535266,12053191,171,29975,0.7367,2024-12-31
2525,2022,A1,GBP,5651115,7892777,13543892,243,91147,0.7831,2024-12-31
2525,2022,A2,GBP,8967858,3363727,12331585,223,31914,0.3974,2024-12-31
2525,2022,D1,GBP,14593076,4022144,18615220,28,120603,0.6667,2024-12-31
2525,2022,D2,GBP,6438069,9117680,15555749,97,22123,0.5625,2024-12-31
2525,2022,E1,GBP,13926134,9244877,23171011,205,47047,0.4152,2024-12-31
2525,2023,A1,GBP,9406521,3097658,12504179,211,93133,0.3501,2024-12-31
2525,2023,A2,GBP,3278902,4095970,7374872,97,11077,0.7711,2024-12-31
2525,2023,D1,GBP,10728490,7413803,18142293,123,66225,0.3245,2024-12-31
2525,2023,D2,GBP,7225530,5274384,12499914,219,25176,0.786,2024-12-31
2525,2023,E1,GBP,8495112,8151806,16646918,184,95450,0.6608,2024-12-31
2525,2024,A1,GBP,5533050,305932,5838982,58,37385,0.6542,2024-12-31
2525,2024,A2,GBP,11709196,5527870,17237066,126,216836,0.3296,2024-12-31
2525,2024,D1,GBP,7384958,2653898,10038856,93,27763,0.7112,2024-12-31
2525,2024,D2,GBP,13327740,4367855,17695595,220,131957,0.623,2024-12-31
2525,2024,E1,GBP,7059885,3544232,10604117,147,35476,0.3353,2024-12-31
