reporting_period,Policy_ID,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Currency,Inception_Date,Expiry_Date,Gross_Written_Premium,Net_Written_Premium,Broker,Country,Risk_Code
2025-11-30,POL000502,1910,2020,A1,Direct Accident & Health,JPY,2020-10-27,2021-10-27,3301854.46,2676180.63,Broker_38,CA,9
2025-11-30,POL000503,2525,2019,A1,Direct Accident & Health,GBP,2019-09-10,2020-09-09,2392306.79,2034541.33,Broker_50,AU,4
2025-11-30,POL000504,2987,2022,A1,Direct Accident & Health,CAD,2022-02-04,2023-02-04,3674484.73,2763975.83,Broker_26,FR,1
2025-11-30,POL000505,5000,2026,A2,Accident & Health Reinsurance,AUD,2026-03-08,2027-03-08,1733949.46,1561860.13,Broker_50,FR,9
2025-11-30,POL000506,33,2020,D2,Direct Motor (Commercial),CHF,2020-11-27,2021-11-27,1864017.09,1591124.99,Broker_39,AU,7
2025-11-30,POL000507,2010,2023,D2,Direct Motor (Commercial),EUR,2023-02-12,2024-02-12,4579783.31,3617793.07,Broker_26,JP,7
2025-11-30,POL000508,2987,2024,A2,Accident & Health Reinsurance,USD,2024-06-06,2025-06-06,3020637.64,2719845.79,Broker_19,JP,2
2025-11-30,POL000509,623,2018,A1,Direct Accident & Health,USD,2018-05-12,2019-05-12,4753158.78,3353432.12,Broker_9,AU,5
2025-11-30,POL000510,5000,2018,E1,Energy Offshore,EUR,2018-05-15,2019-05-15,3055783.7,2157467.48,Broker_44,AU,2
2025-11-30,POL000511,1183,2019,D1,Direct Motor (Private Car),CAD,2019-06-05,2020-06-04,4528638.8,4115822.27,Broker_31,US,4
2025-11-30,POL000512,33,2018,D2,Direct Motor (Commercial),USD,2018-08-22,2019-08-22,1098689.9,1026005.57,Broker_42,GB,7
2025-11-30,POL000513,2010,2024,E1,Energy Offshore,EUR,2024-07-28,2025-07-28,2081473.45,1464488.76,Broker_49,GB,6
2025-11-30,POL000514,623,2022,E1,Energy Offshore,EUR,2022-10-27,2023-10-27,3335944.66,2401968.33,Broker_29,DE,3
2025-11-30,POL000515,1183,2020,A2,Accident & Health Reinsurance,JPY,2020-12-15,2021-12-15,4275480.84,4010844.93,Broker_3,CA,4
2025-11-30,POL000516,2791,2022,D1,Direct Motor (Private Car),EUR,2022-08-23,2023-08-23,2607042.53,2473159.15,Broker_9,FR,5
2025-11-30,POL000517,2010,2026,A2,Accident & Health Reinsurance,JPY,2026-08-17,2027-08-17,3231405.19,2298809.66,Broker_43,AU,8
2025-11-30,POL000518,1910,2026,A1,Direct Accident & Health,USD,2026-12-25,2027-12-25,643452.62,470248.66,Broker_48,AU,9
2025-11-30,POL000519,2791,2024,A1,Direct Accident & Health,EUR,2024-06-15,2025-06-15,3646643.25,2595473.71,Broker_13,DE,2
2025-11-30,POL000520,2010,2020,D2,Direct Motor (Commercial),EUR,2020-09-08,2021-09-08,3268334.88,2761431.74,Broker_4,AU,9
2025-11-30,POL000521,33,2025,D1,Direct Motor (Private Car),JPY,2025-08-16,2026-08-16,582620.46,479264.83,Broker_5,GB,4
2025-11-30,POL000522,4242,2019,A2,Accident & Health Reinsurance,USD,2019-10-23,2020-10-22,570698.76,446855.2,Broker_12,CA,2
2025-11-30,POL000523,2010,2020,D1,Direct Motor (Private Car),EUR,2020-07-21,2021-07-21,3439604.86,3234618.0,Broker_45,FR,8
2025-11-30,POL000524,2010,2020,A1,Direct Accident & Health,EUR,2020-07-22,2021-07-22,912650.59,821193.41,Broker_18,FR,7
2025-11-30,POL000525,2987,2021,D1,Direct Motor (Private Car),AUD,2021-01-05,2022-01-05,3463332.26,2545538.28,Broker_35,AU,7
2025-11-30,POL000526,4242,2020,D2,Direct Motor (Commercial),CAD,2020-08-12,2021-08-12,3653565.53,3079763.31,Broker_26,JP,9
2025-11-30,POL000527,2010,2023,A1,Direct Accident & Health,CHF,2023-03-23,2024-03-22,2424174.67,1950484.6,Broker_30,JP,2
2025-11-30,POL000528,5000,2022,A1,Direct Accident & Health,GBP,2022-07-23,2023-07-23,1581902.43,1196156.49,Broker_24,DE,8
2025-11-30,POL000529,1183,2024,A2,Accident & Health Reinsurance,USD,2024-04-27,2025-04-27,1313200.54,1147393.58,Broker_45,GB,5
2025-11-30,POL000530,2525,2018,E1,Energy Offshore,CHF,2018-04-05,2019-04-05,4560678.33,3261943.9,Broker_28,GB,2
2025-11-30,POL000531,2010,2019,A2,Accident & Health Reinsurance,GBP,2019-06-11,2020-06-10,1435273.68,1268282.57,Broker_45,DE,2
2025-11-30,POL000532,1910,2024,D1,Direct Motor (Private Car),AUD,2024-03-01,2025-03-01,466195.74,399259.58,Broker_49,FR,8
2025-11-30,POL000533,1183,2021,A1,Direct Accident & Health,GBP,2021-01-28,2022-01-28,617259.58,522833.31,Broker_16,US,3
2025-11-30,POL000534,5000,2026,D1,Direct Motor (Private Car),JPY,2026-03-09,2027-03-09,2864893.59,2134908.07,Broker_34,FR,8
2025-11-30,POL000535,5000,2019,A2,Accident & Health Reinsurance,GBP,2019-06-21,2020-06-20,2138233.74,1825741.99,Broker_48,DE,7
2025-11-30,POL000536,2525,2026,A2,Accident & Health Reinsurance,CAD,2026-02-28,2027-02-28,82898.9,65497.91,Broker_31,CA,4
2025-11-30,POL000537,1910,2026,A1,Direct Accident & Health,USD,2026-04-17,2027-04-17,110487.87,81589.31,Broker_5,CA,5
2025-11-30,POL000538,2791,2019,A2,Accident & Health Reinsurance,AUD,2019-04-10,2020-04-09,3682230.59,2769405.23,Broker_41,DE,9
2025-11-30,POL000539,623,2020,D1,Direct Motor (Private Car),AUD,2020-10-13,2021-10-13,1055184.29,848437.49,Broker_37,US,8
2025-11-30,POL000540,2010,2024,D2,Direct Motor (Commercial),USD,2024-06-24,2025-06-24,4659172.89,3984025.25,Broker_39,JP,7
2025-11-30,POL000541,2525,2022,D1,Direct Motor (Private Car),CHF,2022-09-18,2023-09-18,1649505.17,1177114.12,Broker_45,US,9
2025-11-30,POL000542,2525,2024,D2,Direct Motor (Commercial),JPY,2024-03-26,2025-03-26,744663.1,559722.49,Broker_20,JP,3
2025-11-30,POL000543,4242,2020,D1,Direct Motor (Private Car),JPY,2020-08-09,2021-08-09,1857458.61,1649088.4,Broker_35,CA,1
2025-11-30,POL000544,1183,2024,D2,Direct Motor (Commercial),JPY,2024-03-17,2025-03-17,321532.32,264152.76,Broker_40,DE,8
2025-11-30,POL000545,33,2021,D2,Direct Motor (Commercial),EUR,2021-10-17,2022-10-17,1519306.92,1389671.35,Broker_27,US,2
2025-11-30,POL000546,2791,2023,A1,Direct Accident & Health,USD,2023-07-06,2024-07-05,3415876.99,2674304.48,Broker_17,AU,8
2025-11-30,POL000547,2525,2019,D1,Direct Motor (Private Car),CAD,2019-03-11,2020-03-10,4308476.05,3163821.71,Broker_26,JP,6
2025-11-30,POL000548,1910,2025,D1,Direct Motor (Private Car),EUR,2025-04-16,2026-04-16,1571468.54,1437306.95,Broker_9,JP,1
2025-11-30,POL000549,1910,2020,D2,Direct Motor (Commercial),EUR,2020-03-22,2021-03-22,1542656.78,1411407.38,Broker_1,DE,6
2025-11-30,POL000550,5000,2024,D2,Direct Motor (Commercial),GBP,2024-11-11,2025-11-11,3386456.73,2909006.41,Broker_36,JP,9
2025-11-30,POL000551,2987,2022,D1,Direct Motor (Private Car),EUR,2022-04-15,2023-04-15,535952.87,487563.55,Broker_48,JP,1
2025-11-30,POL000552,1910,2024,D2,Direct Motor (Commercial),USD,2024-02-22,2025-02-21,4433038.01,3155432.8,Broker_6,DE,2
2025-11-30,POL000553,2791,2026,D1,Direct Motor (Private Car),USD,2026-08-08,2027-08-08,1971677.77,1448815.48,Broker_30,FR,1
2025-11-30,POL000554,2987,2026,A2,Accident & Health Reinsurance,AUD,2026-02-18,2027-02-18,2208917.77,2032157.2,Broker_31,JP,9
2025-11-30,POL000555,4242,2023,D1,Direct Motor (Private Car),USD,2023-01-05,2024-01-05,3319099.78,2817389.95,Broker_29,FR,5
2025-11-30,POL000556,623,2022,D1,Direct Motor (Private Car),USD,2022-10-17,2023-10-17,695435.11,534940.85,Broker_2,FR,5
2025-11-30,POL000557,5000,2023,A2,Accident & Health Reinsurance,GBP,2023-07-25,2024-07-24,2181958.78,2029598.81,Broker_16,DE,9
2025-11-30,POL000558,623,2022,A1,Direct Accident & Health,USD,2022-09-02,2023-09-02,11132.92,10339.7,Broker_22,AU,2
2025-11-30,POL000559,5000,2023,E1,Energy Offshore,EUR,2023-01-18,2024-01-18,3616695.16,2741311.43,Broker_1,FR,4
2025-11-30,POL000560,33,2018,D1,Direct Motor (Private Car),CAD,2018-10-09,2019-10-09,3749401.29,3484919.35,Broker_16,US,7
2025-11-30,POL000561,33,2025,A2,Accident & Health Reinsurance,GBP,2025-08-18,2026-08-18,2266490.37,2005329.16,Broker_43,CA,1
2025-11-30,POL000562,33,2019,D1,Direct Motor (Private Car),USD,2019-04-03,2020-04-02,4042258.41,3153693.74,Broker_7,AU,6
2025-11-30,POL000563,2525,2021,A1,Direct Accident & Health,JPY,2021-01-20,2022-01-20,4315982.74,3309360.7,Broker_26,AU,9
2025-11-30,POL000564,2525,2025,D1,Direct Motor (Private Car),EUR,2025-06-20,2026-06-20,4139343.23,2898159.03,Broker_1,AU,1
2025-11-30,POL000565,2987,2023,D1,Direct Motor (Private Car),CHF,2023-09-23,2024-09-22,1127383.69,891555.54,Broker_29,AU,4
2025-11-30,POL000566,1183,2019,A1,Direct Accident & Health,GBP,2019-02-23,2020-02-23,4968982.04,3869133.78,Broker_23,GB,8
2025-11-30,POL000567,4242,2025,D1,Direct Motor (Private Car),CHF,2025-03-25,2026-03-25,361972.83,335678.18,Broker_1,FR,5
2025-11-30,POL000568,4242,2018,E1,Energy Offshore,EUR,2018-01-27,2019-01-27,3692023.27,2712716.13,Broker_40,US,1
2025-11-30,POL000569,2791,2018,A2,Accident & Health Reinsurance,GBP,2018-11-23,2019-11-23,4904161.09,4175802.68,Broker_44,CA,2
2025-11-30,POL000570,2791,2019,D1,Direct Motor (Private Car),USD,2019-02-17,2020-02-17,2521692.2,2267279.03,Broker_32,GB,4
2025-11-30,POL000571,2987,2023,E1,Energy Offshore,EUR,2023-02-06,2024-02-06,2073447.49,1472049.97,Broker_26,JP,7
2025-11-30,POL000572,2525,2021,A1,Direct Accident & Health,AUD,2021-07-27,2022-07-27,4739420.69,3484894.93,Broker_33,CA,6
2025-11-30,POL000573,5000,2020,E1,Energy Offshore,CHF,2020-03-23,2021-03-23,3169983.38,2575835.36,Broker_41,CA,7
2025-11-30,POL000574,1183,2019,A2,Accident & Health Reinsurance,EUR,2019-07-09,2020-07-08,1680597.32,1308220.28,Broker_32,AU,7
2025-11-30,POL000575,2525,2019,A2,Accident & Health Reinsurance,JPY,2019-04-21,2020-04-20,1916796.24,1405140.41,Broker_10,DE,3
2025-11-30,POL000576,1910,2018,A1,Direct Accident & Health,JPY,2018-11-18,2019-11-18,2367852.06,1881391.37,Broker_50,CA,9
2025-11-30,POL000577,5000,2023,D2,Direct Motor (Commercial),CHF,2023-10-01,2024-09-30,4269736.2,3763011.47,Broker_48,DE,5
2025-11-30,POL000578,4242,2025,A1,Direct Accident & Health,JPY,2025-08-01,2026-08-01,457899.91,424796.75,Broker_2,GB,8
2025-11-30,POL000579,2010,2018,D2,Direct Motor (Commercial),GBP,2018-05-18,2019-05-18,4829503.28,3629123.45,Broker_11,JP,5
2025-11-30,POL000580,33,2025,E1,Energy Offshore,USD,2025-01-18,2026-01-18,3647060.32,2827805.72,Broker_45,US,1
2025-11-30,POL000581,2010,2021,A1,Direct Accident & Health,USD,2021-11-20,2022-11-20,2919807.84,2466482.36,Broker_44,GB,5
2025-11-30,POL000582,5000,2021,D1,Direct Motor (Private Car),USD,2021-09-26,2022-09-26,1717241.67,1614872.92,Broker_18,JP,3
2025-11-30,POL000583,33,2020,A1,Direct Accident & Health,GBP,2020-12-01,2021-12-01,2159982.79,1680570.23,Broker_3,DE,1
2025-11-30,POL000584,5000,2020,A2,Accident & Health Reinsurance,CAD,2020-04-21,2021-04-21,3010906.51,2362974.71,Broker_36,JP,6
2025-11-30,POL000585,2987,2026,A1,Direct Accident & Health,USD,2026-06-16,2027-06-16,1943457.65,1643884.11,Broker_39,FR,6
2025-11-30,POL000586,2791,2024,A1,Direct Accident & Health,GBP,2024-10-25,2025-10-25,2418180.17,1823326.85,Broker_4,JP,2
2025-11-30,POL000587,2987,2018,D2,Direct Motor (Commercial),AUD,2018-08-02,2019-08-02,3336990.33,2762169.34,Broker_48,FR,8
2025-11-30,POL000588,33,2026,A2,Accident & Health Reinsurance,CHF,2026-07-17,2027-07-17,4197107.5,3515770.53,Broker_20,FR,3
2025-11-30,POL000589,5000,2025,D2,Direct Motor (Commercial),USD,2025-04-14,2026-04-14,2872080.77,2255761.75,Broker_46,AU,4
2025-11-30,POL000590,4242,2021,A2,Accident & Health Reinsurance,EUR,2021-06-21,2022-06-21,1974241.25,1615637.92,Broker_48,DE,6
2025-11-30,POL000591,2791,2022,D1,Direct Motor (Private Car),EUR,2022-05-16,2023-05-16,1786904.49,1554778.64,Broker_15,DE,5
2025-11-30,POL000592,5000,2022,E1,Energy Offshore,GBP,2022-03-06,2023-03-06,1066611.85,757693.68,Broker_21,GB,6
2025-11-30,POL000593,1910,2025,A2,Accident & Health Reinsurance,AUD,2025-03-23,2026-03-23,4766069.37,4193241.69,Broker_12,AU,7
2025-11-30,POL000594,33,2018,A1,Direct Accident & Health,GBP,2018-03-19,2019-03-19,2416547.26,1726206.35,Broker_42,JP,2
2025-11-30,POL000595,2525,2023,E1,Energy Offshore,GBP,2023-04-18,2024-04-17,3640879.38,3388387.81,Broker_17,US,2
2025-11-30,POL000596,4242,2020,E1,Energy Offshore,EUR,2020-09-12,2021-09-12,2454031.48,2042157.02,Broker_11,FR,5
2025-11-30,POL000597,2791,2022,A2,Accident & Health Reinsurance,CAD,2022-08-04,2023-08-04,433981.79,351117.96,Broker_14,AU,2
2025-11-30,POL000598,623,2019,E1,Energy Offshore,JPY,2019-07-20,2020-07-19,4613999.25,3809285.27,Broker_1,US,6
2025-11-30,POL000599,4242,2023,E1,Energy Offshore,CAD,2023-10-23,2024-10-22,214260.38,152642.39,Broker_50,AU,8
2025-11-30,POL000600,1183,2025,A2,Accident & Health Reinsurance,AUD,2025-08-06,2026-08-06,3074789.36,2334233.86,Broker_24,GB,2
2025-11-30,POL000601,1910,2026,D2,Direct Motor (Commercial),CAD,2026-12-16,2027-12-16,580043.32,443059.33,Broker_42,US,9
2025-11-30,POL000602,5000,2026,A2,Accident & Health Reinsurance,CAD,2026-08-23,2027-08-23,598682.69,425835.72,Broker_40,GB,5
2025-11-30,POL000603,33,2018,A2,Accident & Health Reinsurance,AUD,2018-02-20,2019-02-20,2250901.79,1900668.83,Broker_18,AU,8
2025-11-30,POL000604,1910,2022,E1,Energy Offshore,USD,2022-07-20,2023-07-20,4966393.33,4554874.29,Broker_26,FR,1
2025-11-30,POL000605,1910,2021,A1,Direct Accident & Health,USD,2021-03-18,2022-03-18,2283691.25,1873778.57,Broker_23,DE,6
2025-11-30,POL000606,2987,2025,D2,Direct Motor (Commercial),USD,2025-05-25,2026-05-25,2433315.15,2258603.61,Broker_5,US,6
2025-11-30,POL000607,1183,2020,E1,Energy Offshore,USD,2020-08-27,2021-08-27,520811.75,462450.99,Broker_2,DE,2
2025-11-30,POL000608,623,2019,D2,Direct Motor (Commercial),CHF,2019-05-07,2020-05-06,4663507.88,3935610.37,Broker_16,CA,8
2025-11-30,POL000609,2010,2022,E1,Energy Offshore,EUR,2022-10-20,2023-10-20,3121291.5,2287351.06,Broker_50,CA,8
2025-11-30,POL000610,5000,2020,D2,Direct Motor (Commercial),CHF,2020-04-21,2021-04-21,1871269.18,1407679.57,Broker_44,US,5
2025-11-30,POL000611,5000,2022,E1,Energy Offshore,AUD,2022-01-27,2023-01-27,4237874.36,3184768.59,Broker_16,AU,4
2025-11-30,POL000612,1910,2026,E1,Energy Offshore,CAD,2026-12-26,2027-12-26,4085109.66,3763651.24,Broker_28,GB,5
2025-11-30,POL000613,4242,2023,D2,Direct Motor (Commercial),CAD,2023-08-03,2024-08-02,677141.32,632347.48,Broker_13,CA,6
2025-11-30,POL000614,2791,2018,E1,Energy Offshore,CHF,2018-08-09,2019-08-09,3828928.33,3569904.67,Broker_10,DE,9
2025-11-30,POL000615,4242,2020,E1,Energy Offshore,JPY,2020-03-10,2021-03-10,1529407.22,1446416.57,Broker_18,FR,9
2025-11-30,POL000616,5000,2019,D2,Direct Motor (Commercial),CAD,2019-05-03,2020-05-02,3205499.93,2925422.76,Broker_43,DE,9
2025-11-30,POL000617,5000,2026,A2,Accident & Health Reinsurance,JPY,2026-04-09,2027-04-09,675388.89,513725.15,Broker_28,US,4
2025-11-30,POL000618,623,2018,A2,Accident & Health Reinsurance,CHF,2018-10-17,2019-10-17,2005915.26,1432921.48,Broker_35,AU,6
2025-11-30,POL000619,5000,2018,A2,Accident & Health Reinsurance,JPY,2018-06-23,2019-06-23,2102480.06,1840246.96,Broker_9,FR,7
2025-11-30,POL000620,5000,2018,A2,Accident & Health Reinsurance,CHF,2018-08-16,2019-08-16,2109475.45,1741343.19,Broker_24,GB,9
2025-11-30,POL000621,2791,2021,D2,Direct Motor (Commercial),EUR,2021-06-17,2022-06-17,425283.1,389448.71,Broker_49,FR,7
2025-11-30,POL000622,623,2024,D2,Direct Motor (Commercial),JPY,2024-05-20,2025-05-20,282505.41,266391.68,Broker_37,JP,1
2025-11-30,POL000623,33,2020,E1,Energy Offshore,JPY,2020-02-14,2021-02-13,654065.52,506550.76,Broker_19,JP,7
2025-11-30,POL000624,2010,2022,D2,Direct Motor (Commercial),CAD,2022-11-02,2023-11-02,4104517.79,2880491.15,Broker_32,US,9
2025-11-30,POL000625,5000,2023,E1,Energy Offshore,EUR,2023-12-19,2024-12-18,2612539.41,1910189.17,Broker_49,CA,5
2025-11-30,POL000626,623,2026,A1,Direct Accident & Health,GBP,2026-05-26,2027-05-26,680822.8,556184.68,Broker_40,AU,3
2025-11-30,POL000627,2791,2018,A2,Accident & Health Reinsurance,AUD,2018-08-01,2019-08-01,2846475.45,2556130.0,Broker_36,US,6
2025-11-30,POL000628,2010,2024,A1,Direct Accident & Health,USD,2024-11-21,2025-11-21,4727404.53,3376828.42,Broker_46,CA,4
2025-11-30,POL000629,2791,2022,A1,Direct Accident & Health,AUD,2022-02-15,2023-02-15,1419925.83,1092990.85,Broker_33,GB,3
2025-11-30,POL000630,2525,2020,E1,Energy Offshore,GBP,2020-08-03,2021-08-03,3652708.59,2883589.49,Broker_45,CA,4
2025-11-30,POL000631,2791,2019,D2,Direct Motor (Commercial),AUD,2019-08-23,2020-08-22,3567283.02,2847502.82,Broker_13,GB,7
2025-11-30,POL000632,2010,2019,A1,Direct Accident & Health,EUR,2019-03-24,2020-03-23,465715.41,344797.96,Broker_42,DE,4
2025-11-30,POL000633,2010,2019,A1,Direct Accident & Health,CHF,2019-04-19,2020-04-18,3668470.29,3480847.76,Broker_7,GB,7
2025-11-30,POL000634,2791,2021,E1,Energy Offshore,JPY,2021-09-05,2022-09-05,298127.99,271670.04,Broker_29,GB,4
2025-11-30,POL000635,1183,2019,E1,Energy Offshore,USD,2019-09-19,2020-09-18,3060594.86,2426266.47,Broker_24,DE,3
2025-11-30,POL000636,5000,2018,A1,Direct Accident & Health,CHF,2018-12-09,2019-12-09,3911081.33,3211166.96,Broker_35,AU,3
2025-11-30,POL000637,2791,2022,A1,Direct Accident & Health,GBP,2022-01-10,2023-01-10,1311637.74,921126.14,Broker_39,FR,6
2025-11-30,POL000638,33,2019,D1,Direct Motor (Private Car),EUR,2019-07-17,2020-07-16,2850340.25,2613747.49,Broker_31,AU,2
2025-11-30,POL000639,5000,2019,D2,Direct Motor (Commercial),CAD,2019-06-27,2020-06-26,1978452.16,1813775.78,Broker_46,CA,3
2025-11-30,POL000640,1183,2022,A2,Accident & Health Reinsurance,JPY,2022-12-04,2023-12-04,4188873.48,3270452.17,Broker_28,FR,2
2025-11-30,POL000641,4242,2023,D2,Direct Motor (Commercial),CHF,2023-04-15,2024-04-14,1937575.65,1527523.22,Broker_31,FR,5
2025-11-30,POL000642,33,2023,A2,Accident & Health Reinsurance,CAD,2023-12-07,2024-12-06,2061455.95,1672208.12,Broker_30,FR,1
2025-11-30,POL000643,2791,2020,A1,Direct Accident & Health,CAD,2020-11-23,2021-11-23,2485253.2,1744502.76,Broker_50,AU,3
2025-11-30,POL000644,33,2023,D2,Direct Motor (Commercial),USD,2023-05-18,2024-05-17,1555247.66,1453311.21,Broker_22,US,3
2025-11-30,POL000645,1183,2018,E1,Energy Offshore,CHF,2018-08-02,2019-08-02,636961.03,492009.08,Broker_17,FR,6
2025-11-30,POL000646,1183,2026,E1,Energy Offshore,EUR,2026-03-21,2027-03-21,1960677.96,1851103.77,Broker_35,DE,4
2025-11-30,POL000647,2010,2025,E1,Energy Offshore,JPY,2025-03-24,2026-03-24,2534569.74,2267000.23,Broker_4,AU,6
2025-11-30,POL000648,2987,2025,D2,Direct Motor (Commercial),GBP,2025-03-17,2026-03-17,3510810.68,2466193.14,Broker_2,FR,6
2025-11-30,POL000649,5000,2020,D1,Direct Motor (Private Car),CAD,2020-10-12,2021-10-12,3637822.45,3176655.91,Broker_39,JP,9
2025-11-30,POL000650,2010,2025,E1,Energy Offshore,USD,2025-01-25,2026-01-25,3761472.84,3167412.73,Broker_45,DE,3
2025-11-30,POL000651,1910,2024,E1,Energy Offshore,AUD,2024-08-10,2025-08-10,3162294.87,2623714.82,Broker_8,CA,7
2025-11-30,POL000652,33,2021,A1,Direct Accident & Health,GBP,2021-02-18,2022-02-18,2236390.48,1875201.95,Broker_39,GB,6
2025-11-30,POL000653,5000,2023,D1,Direct Motor (Private Car),JPY,2023-02-22,2024-02-22,3145750.72,2546995.62,Broker_49,JP,8
2025-11-30,POL000654,623,2021,A1,Direct Accident & Health,GBP,2021-06-18,2022-06-18,2648249.53,1876534.29,Broker_38,AU,5
2025-11-30,POL000655,623,2019,D1,Direct Motor (Private Car),CHF,2019-01-16,2020-01-16,530522.31,390665.42,Broker_28,US,9
2025-11-30,POL000656,623,2022,D2,Direct Motor (Commercial),CHF,2022-04-24,2023-04-24,3219090.72,2507465.17,Broker_45,DE,7
2025-11-30,POL000657,2525,2023,E1,Energy Offshore,AUD,2023-07-28,2024-07-27,3055776.54,2776916.9,Broker_26,CA,3
2025-11-30,POL000658,2010,2023,E1,Energy Offshore,AUD,2023-10-19,2024-10-18,2189421.51,1786568.19,Broker_29,FR,1
2025-11-30,POL000659,4242,2018,A2,Accident & Health Reinsurance,AUD,2018-07-06,2019-07-06,4878253.58,3494386.65,Broker_11,CA,2
2025-11-30,POL000660,2987,2020,D1,Direct Motor (Private Car),CHF,2020-12-07,2021-12-07,3841703.05,3411235.03,Broker_20,DE,3
2025-11-30,POL000661,33,2022,A2,Accident & Health Reinsurance,GBP,2022-02-02,2023-02-02,2350434.45,2190931.34,Broker_10,US,4
2025-11-30,POL000662,4242,2018,E1,Energy Offshore,CHF,2018-06-16,2019-06-16,1806698.91,1480529.84,Broker_46,US,5
2025-11-30,POL000663,2525,2025,D2,Direct Motor (Commercial),AUD,2025-11-16,2026-11-16,208587.67,177178.66,Broker_47,CA,8
2025-11-30,POL000664,5000,2022,D1,Direct Motor (Private Car),USD,2022-06-27,2023-06-27,4108084.51,3126925.07,Broker_38,AU,9
2025-11-30,POL000665,1910,2022,A1,Direct Accident & Health,CHF,2022-06-21,2023-06-21,1278753.21,1096866.36,Broker_21,FR,8
2025-11-30,POL000666,2525,2026,A2,Accident & Health Reinsurance,AUD,2026-09-15,2027-09-15,3422103.12,3039784.78,Broker_16,FR,4
2025-11-30,POL000667,4242,2023,E1,Energy Offshore,CHF,2023-07-09,2024-07-08,4203337.41,2960723.91,Broker_28,AU,5
2025-11-30,POL000668,2987,2026,A1,Direct Accident & Health,GBP,2026-11-24,2027-11-24,4833129.0,3915727.46,Broker_49,DE,8
2025-11-30,POL000669,5000,2022,E1,Energy Offshore,USD,2022-07-10,2023-07-10,1768880.42,1293984.74,Broker_46,US,9
2025-11-30,POL000670,2010,2018,E1,Energy Offshore,CHF,2018-10-10,2019-10-10,928665.6,674594.38,Broker_3,AU,6
2025-11-30,POL000671,623,2019,A2,Accident & Health Reinsurance,CHF,2019-02-12,2020-02-12,3367430.13,2775797.24,Broker_24,FR,1
2025-11-30,POL000672,2987,2018,A1,Direct Accident & Health,AUD,2018-04-13,2019-04-13,2903166.29,2153063.27,Broker_46,CA,8
2025-11-30,POL000673,4242,2018,D2,Direct Motor (Commercial),CHF,2018-10-03,2019-10-03,4880669.26,3687690.65,Broker_40,DE,1
2025-11-30,POL000674,1183,2019,A1,Direct Accident & Health,EUR,2019-01-15,2020-01-15,2472099.44,2293881.41,Broker_5,DE,2
2025-11-30,POL000675,33,2019,A1,Direct Accident & Health,CHF,2019-07-27,2020-07-26,2294446.61,1754656.02,Broker_49,US,1
2025-11-30,POL000676,623,2026,A2,Accident & Health Reinsurance,CHF,2026-07-04,2027-07-04,2732886.64,2380327.27,Broker_32,FR,1
2025-11-30,POL000677,1910,2023,D1,Direct Motor (Private Car),CAD,2023-09-23,2024-09-22,532255.6,428857.44,Broker_1,JP,3
2025-11-30,POL000678,4242,2021,D1,Direct Motor (Private Car),AUD,2021-05-04,2022-05-04,842574.41,784380.19,Broker_18,US,9
2025-11-30,POL000679,33,2022,A2,Accident & Health Reinsurance,CAD,2022-12-07,2023-12-07,98173.52,71243.75,Broker_26,JP,1
2025-11-30,POL000680,1183,2018,A1,Direct Accident & Health,AUD,2018-02-20,2019-02-20,44135.33,36047.73,Broker_33,DE,7
2025-11-30,POL000681,2525,2021,D1,Direct Motor (Private Car),USD,2021-03-09,2022-03-09,3905689.53,3622718.54,Broker_16,FR,7
2025-11-30,POL000682,5000,2020,D2,Direct Motor (Commercial),AUD,2020-01-26,2021-01-25,4681521.06,4378100.98,Broker_17,JP,9
2025-11-30,POL000683,2987,2021,A1,Direct Accident & Health,CAD,2021-02-09,2022-02-09,1364440.01,956370.94,Broker_50,AU,9
2025-11-30,POL000684,4242,2021,A2,Accident & Health Reinsurance,USD,2021-02-25,2022-02-25,486839.93,450101.34,Broker_11,AU,3
2025-11-30,POL000685,1183,2023,A2,Accident & Health Reinsurance,AUD,2023-10-18,2024-10-17,4563899.08,3397082.79,Broker_48,GB,9
2025-11-30,POL000686,4242,2021,E1,Energy Offshore,CHF,2021-01-28,2022-01-28,1191619.95,859146.83,Broker_34,FR,5
2025-11-30,POL000687,4242,2026,E1,Energy Offshore,USD,2026-01-03,2027-01-03,509773.44,391470.01,Broker_3,US,9
2025-11-30,POL000688,2010,2019,A2,Accident & Health Reinsurance,JPY,2019-03-14,2020-03-13,2577663.33,2261232.13,Broker_39,FR,3
2025-11-30,POL000689,5000,2019,A1,Direct Accident & Health,AUD,2019-06-09,2020-06-08,3293167.93,2904143.6,Broker_47,US,2
2025-11-30,POL000690,623,2025,A2,Accident & Health Reinsurance,EUR,2025-09-02,2026-09-02,3190137.76,2289479.41,Broker_6,AU,7
2025-11-30,POL000691,1183,2020,E1,Energy Offshore,USD,2020-09-24,2021-09-24,2166015.75,1947459.74,Broker_49,US,1
2025-11-30,POL000692,2791,2024,A2,Accident & Health Reinsurance,USD,2024-10-18,2025-10-18,730117.1,528159.3,Broker_46,FR,6
2025-11-30,POL000693,623,2019,D1,Direct Motor (Private Car),EUR,2019-12-08,2020-12-07,4411058.02,4145384.67,Broker_20,GB,3
2025-11-30,POL000694,623,2025,D1,Direct Motor (Private Car),EUR,2025-07-27,2026-07-27,109664.93,92847.86,Broker_19,US,7
