reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims,Case_Reserves,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio
2025-11-30,4242,2024,D1,Direct Motor (Private Car),36868081,33385601,13910747,2897805,4973096,5489629,4919056,0.5778
2025-11-30,4242,2024,D2,Direct Motor (Commercial),13425461,11507964,3134315,1333099,1915539,2225373,1924773,0.5769
2025-11-30,4242,2024,E1,Energy Offshore,10681667,9940296,4058869,1167973,1783052,2381256,1193442,0.5774
2025-11-30,4242,2025,A1,Direct Accident & Health,35493889,32129245,12379073,3135891,4330440,7425278,4319625,0.6519
2025-11-30,4242,2025,A2,Accident & Health Reinsurance,20888021,18317228,9805747,2279942,2266305,3002213,2494796,0.6924
2025-11-30,4242,2025,D1,Direct Motor (Private Car),29734891,26706490,10338035,1944652,5044447,6754950,4215081,0.5726
2025-11-30,4242,2025,D2,Direct Motor (Commercial),23751583,20374665,10186013,1662271,3733847,5319794,3727301,0.643
2025-11-30,4242,2025,E1,Energy Offshore,10239988,9256127,4036143,1134446,2325924,2159170,714673,0.6868
2025-11-30,5000,2018,A1,Direct Accident & Health,35469757,31813649,14353348,3288966,7918340,8324037,3318584,0.6525
2025-11-30,5000,2018,A2,Accident & Health Reinsurance,7370703,6705597,2494662,906521,1026305,1654876,948261,0.689
2025-11-30,5000,2018,D1,Direct Motor (Private Car),43443983,41229924,15644295,3954027,5047779,5270245,4280407,0.5603
2025-11-30,5000,2018,D2,Direct Motor (Commercial),23646117,21555322,6851155,1784546,4234874,4554009,3357957,0.6004
2025-11-30,5000,2018,E1,Energy Offshore,15142539,13431079,4673143,1840398,2036426,2438289,1849231,0.6818
2025-11-30,5000,2019,A1,Direct Accident & Health,7220667,6198510,1980980,863792,807674,1336326,1112323,0.6186
2025-11-30,5000,2019,A2,Accident & Health Reinsurance,30713901,27458795,10852393,2222443,5448883,4937585,3603668,0.5976
2025-11-30,5000,2019,D1,Direct Motor (Private Car),12784250,11459820,3890003,1057837,2433809,2755126,967712,0.5605
2025-11-30,5000,2019,D2,Direct Motor (Commercial),31177187,26953145,13292221,2034525,6744690,5826207,4057014,0.6449
2025-11-30,5000,2019,E1,Energy Offshore,40584704,34663467,18817245,4562592,9508375,7979186,6623556,0.6866
2025-11-30,5000,2020,A1,Direct Accident & Health,23293245,20421392,6172435,2377585,3280082,5096667,3052043,0.617
2025-11-30,5000,2020,A2,Accident & Health Reinsurance,44508618,40146561,18906997,6246435,6664254,6333998,3173693,0.7041
2025-11-30,5000,2020,D1,Direct Motor (Private Car),9560178,8219553,2277006,763597,1023891,1355410,681043,0.5524
2025-11-30,5000,2020,D2,Direct Motor (Commercial),6590511,5639422,2568092,841150,858774,1420640,525255,0.6739
2025-11-30,5000,2020,E1,Energy Offshore,13051527,11883005,3796594,1305931,2069972,2670119,945582,0.5673
2025-11-30,5000,2021,A1,Direct Accident & Health,12438687,10888000,4629558,1659672,2380892,3296223,1212557,0.6891
2025-11-30,5000,2021,A2,Accident & Health Reinsurance,33654370,30852910,14620570,2913143,7093151,5918735,2533735,0.6884
2025-11-30,5000,2021,D1,Direct Motor (Private Car),31077862,26602832,13157139,2423156,4562393,5716416,4584867,0.6165
2025-11-30,5000,2021,D2,Direct Motor (Commercial),45956666,42029591,12493604,4450116,6824101,9323883,3348853,0.6285
2025-11-30,5000,2021,E1,Energy Offshore,34634046,29796664,10126778,3771881,4803696,6941438,5628421,0.6931
2025-11-30,5000,2022,A1,Direct Accident & Health,14989441,12742325,4196356,1418489,1839533,2713229,1618959,0.6806
2025-11-30,5000,2022,A2,Accident & Health Reinsurance,5248554,4954588,1875654,492238,1092786,1220906,746579,0.6531
2025-11-30,5000,2022,D1,Direct Motor (Private Car),41247424,36645959,14895926,4369340,4277471,7538098,6106373,0.5952
2025-11-30,5000,2022,D2,Direct Motor (Commercial),27376760,24366999,11080420,3680729,3159312,5767281,4587492,0.6864
2025-11-30,5000,2022,E1,Energy Offshore,10399363,9630281,3637407,898634,1948677,2939149,1487193,0.7182
2025-11-30,5000,2023,A1,Direct Accident & Health,25056849,23544569,10174396,2347252,2883379,5639200,3631560,0.6892
2025-11-30,5000,2023,A2,Accident & Health Reinsurance,14391412,12269203,5603919,993020,1826133,2874845,1575631,0.5571
2025-11-30,5000,2023,D1,Direct Motor (Private Car),38533235,35967886,13534609,5051089,3983721,5345360,5521401,0.6568
2025-11-30,5000,2023,D2,Direct Motor (Commercial),7873234,6858908,2962181,756809,1679547,1858533,896791,0.6311
2025-11-30,5000,2023,E1,Energy Offshore,43879232,37613424,16247198,3897661,4026540,9985311,5046004,0.5966
2025-11-30,5000,2024,A1,Direct Accident & Health,21286150,18371092,6636440,1542699,3107083,5270945,2474702,0.6903
2025-11-30,5000,2024,A2,Accident & Health Reinsurance,16454770,14091795,7613347,1314646,3173939,3812634,1291620,0.7171
2025-11-30,5000,2024,D1,Direct Motor (Private Car),18599016,17318512,8207299,1983007,2538391,4668894,2202235,0.6352
2025-11-30,5000,2024,D2,Direct Motor (Commercial),14216020,13455025,4051918,913127,1612922,1857056,1232108,0.6143
2025-11-30,5000,2024,E1,Energy Offshore,32860535,29147055,8620430,2385029,5108896,4347098,4193363,0.5836
2025-11-30,5000,2025,A1,Direct Accident & Health,47425862,44000110,12906885,4742435,4824502,7523082,3615785,0.6725
2025-11-30,5000,2025,A2,Accident & Health Reinsurance,48738590,42810669,19818659,5841583,7992066,7345928,3958939,0.6687
2025-11-30,5000,2025,D1,Direct Motor (Private Car),23183129,20660877,10341388,2444165,2390600,3581556,2655558,0.6546
2025-11-30,5000,2025,D2,Direct Motor (Commercial),10907002,10124515,3715594,740067,1452241,1646537,1322597,0.6754
2025-11-30,5000,2025,E1,Energy Offshore,11421234,10693394,5356297,1160119,1868786,2503273,1009768,0.6738
2025-11-30,1910,2018,A1,Direct Accident & Health,8561401,7959203,3052374,992254,1234323,1185845,1010722,0.5887
2025-11-30,1910,2018,A2,Accident & Health Reinsurance,7893439,6996896,2049009,553947,1210095,1673357,743559,0.5608
2025-11-30,1910,2018,D1,Direct Motor (Private Car),12007581,11316978,3795219,1496651,2070529,1871036,1963651,0.6981
2025-11-30,1910,2018,D2,Direct Motor (Commercial),34851424,30759770,10709096,3907002,5012609,8289888,3469775,0.6685
2025-11-30,1910,2018,E1,Energy Offshore,11580972,10321651,3182531,1308587,1139558,2193370,748268,0.5974
2025-11-30,1910,2019,A1,Direct Accident & Health,34250409,32290898,10639054,2751157,3515584,6821011,3863060,0.579
2025-11-30,1910,2019,A2,Accident & Health Reinsurance,23098893,19927904,8287650,1445212,2418120,5050771,2302009,0.5904
2025-11-30,1910,2019,D1,Direct Motor (Private Car),16489125,14378275,5655674,1339154,3576127,4521219,2730160,0.7021
2025-11-30,1910,2019,D2,Direct Motor (Commercial),43797073,40972179,13879846,6051174,8076254,13006228,6150228,0.744
2025-11-30,1910,2019,E1,Energy Offshore,36055493,33279284,13561709,2723147,4706415,6900264,5106464,0.6058
2025-11-30,1910,2020,A1,Direct Accident & Health,44713121,42091835,22128975,4686330,5250488,13163988,6942089,0.7393
2025-11-30,1910,2020,A2,Accident & Health Reinsurance,38837385,35074515,11757470,3887621,6794800,6280852,2942211,0.5567
2025-11-30,1910,2020,D1,Direct Motor (Private Car),42479425,39052014,15535201,3625000,6597619,7375333,7435758,0.7006
2025-11-30,1910,2020,D2,Direct Motor (Commercial),6069055,5343703,2395297,728369,1173976,803211,659504,0.646
2025-11-30,1910,2020,E1,Energy Offshore,14302893,12737241,6603534,1420756,2517795,3386796,2374708,0.7248
2025-11-30,1910,2021,A1,Direct Accident & Health,9744502,8955928,3416935,792160,1836399,2074876,1172274,0.627
2025-11-30,1910,2021,A2,Accident & Health Reinsurance,43602989,40497112,13114721,5813693,9184965,6520840,7473980,0.7089
2025-11-30,1910,2021,D1,Direct Motor (Private Car),29426990,25339482,10912673,3466718,4777087,5032717,3935729,0.7276
2025-11-30,1910,2021,D2,Direct Motor (Commercial),9496690,8806827,2776398,839437,1621907,2073912,1324349,0.6622
2025-11-30,1910,2021,E1,Energy Offshore,43931152,40429152,19915349,5602451,6811595,12076963,5584834,0.7242
2025-11-30,1910,2022,A1,Direct Accident & Health,33382293,28586489,10177416,3003755,5160506,4538128,4172961,0.6054
2025-11-30,1910,2022,A2,Accident & Health Reinsurance,40759324,36487658,15185616,4978058,8587129,11769536,6915930,0.7299
2025-11-30,1910,2022,D1,Direct Motor (Private Car),17640194,15801863,5448537,2438628,2668363,5028052,1495658,0.7284
2025-11-30,1910,2022,D2,Direct Motor (Commercial),23518203,20338433,5992572,1621161,4582724,2753477,2187301,0.5724
2025-11-30,1910,2022,E1,Energy Offshore,41335084,37093711,16010971,5289040,4696298,7238252,3144294,0.7363
2025-11-30,1910,2023,A1,Direct Accident & Health,20591272,18572545,7393130,2330756,4150852,5276037,2552976,0.717
2025-11-30,1910,2023,A2,Accident & Health Reinsurance,49684795,46415077,18275724,4466657,6041623,12257515,4307468,0.6894
2025-11-30,1910,2023,D1,Direct Motor (Private Car),22448805,19916360,6501341,2466536,2401265,3433163,3253479,0.5954
2025-11-30,1910,2023,D2,Direct Motor (Commercial),46515571,42849270,16597339,6744589,10864946,11572679,6834580,0.7348
2025-11-30,1910,2023,E1,Energy Offshore,15300190,13184047,6219343,1402673,2121818,2440358,1165000,0.5823
2025-11-30,1910,2024,A1,Direct Accident & Health,7327945,6945442,2224492,725054,1727466,1535421,591802,0.6831
2025-11-30,1910,2024,A2,Accident & Health Reinsurance,6672702,6005042,1867571,613819,901100,845593,887336,0.6309
2025-11-30,1910,2024,D1,Direct Motor (Private Car),39051643,35948800,13047839,3104074,8153543,9533382,4477664,0.6163
2025-11-30,1910,2024,D2,Direct Motor (Commercial),14870604,13723402,7143702,1413231,1820670,3122682,1119156,0.7099
2025-11-30,1910,2024,E1,Energy Offshore,41974299,35782231,14085383,2937054,5330333,6384338,4602160,0.5734
2025-11-30,1910,2025,A1,Direct Accident & Health,18096277,15783833,8212326,1541760,1864088,3712047,2012590,0.6667
2025-11-30,1910,2025,A2,Accident & Health Reinsurance,10863766,9662693,4429275,1297820,2042542,1709810,1619187,0.7452
2025-11-30,1910,2025,D1,Direct Motor (Private Car),31679665,29632537,9380530,2520681,3799482,4962497,4528393,0.5796
2025-11-30,1910,2025,D2,Direct Motor (Commercial),42650288,39357060,12907642,4823057,7521354,6238246,5345669,0.5675
2025-11-30,1910,2025,E1,Energy Offshore,33442897,29811646,15138707,3717905,4158448,6064437,5776186,0.6957
2025-11-30,2010,2018,A1,Direct Accident & Health,40252356,34480634,20697069,5282689,5044389,8479794,7134223,0.7473
2025-11-30,2010,2018,A2,Accident & Health Reinsurance,32817564,29411494,10949813,3676089,3644688,7035080,2753305,0.585
2025-11-30,2010,2018,D1,Direct Motor (Private Car),37922643,35367598,13773504,2761399,5545530,6198529,2203038,0.5584
2025-11-30,2010,2018,D2,Direct Motor (Commercial),5164193,4544577,1776137,490868,524399,999344,429372,0.5808
2025-11-30,2010,2018,E1,Energy Offshore,17037471,15653761,5229789,1236518,2269473,4406163,1215234,0.6484
2025-11-30,2010,2019,A1,Direct Accident & Health,29277269,26541526,12883061,3175390,4782760,6609216,2300360,0.6662
2025-11-30,2010,2019,A2,Accident & Health Reinsurance,39395028,33554892,13113580,4340414,4918401,8018863,5598009,0.6966
2025-11-30,2010,2019,D1,Direct Motor (Private Car),28983732,25426472,8880474,3229107,3735509,4356544,3030362,0.5827
2025-11-30,2010,2019,D2,Direct Motor (Commercial),10155751,9410768,3016207,725593,1992306,2046778,1530506,0.6528
2025-11-30,2010,2019,E1,Energy Offshore,25204620,23183127,7748846,2337067,3355771,3483979,1835974,0.6043
2025-11-30,2010,2020,A1,Direct Accident & Health,23885626,21460993,7490754,2850710,2543449,3444967,1986722,0.6246
2025-11-30,2010,2020,A2,Accident & Health Reinsurance,17644436,15983486,7592438,2442626,3993456,4284889,2568857,0.709
2025-11-30,2010,2020,D1,Direct Motor (Private Car),12648178,11909563,3485078,906369,1229684,2160434,1631751,0.6335
2025-11-30,2010,2020,D2,Direct Motor (Commercial),14329070,13454604,5921821,1802824,2232679,3495869,1066345,0.7134
2025-11-30,2010,2020,E1,Energy Offshore,12958902,12125405,3410487,944915,1348677,1741372,861202,0.5945
2025-11-30,2010,2021,A1,Direct Accident & Health,12497549,11591092,4433021,736845,1212602,2534645,1251182,0.5655
2025-11-30,2010,2021,A2,Accident & Health Reinsurance,8977222,8446245,2386919,752310,878826,1267488,685291,0.6438
2025-11-30,2010,2021,D1,Direct Motor (Private Car),45385575,42667772,12217722,3625694,4511036,9903606,6472614,0.5911
2025-11-30,2010,2021,D2,Direct Motor (Commercial),43906454,38025436,14966829,4702186,5396110,8543023,3124696,0.6196
2025-11-30,2010,2021,E1,Energy Offshore,43797894,39544412,18918446,6044931,5673430,10795817,3097436,0.7026
2025-11-30,2010,2022,A1,Direct Accident & Health,11622686,10949124,5597605,1259538,2473668,2024405,1716965,0.7348
2025-11-30,2010,2022,A2,Accident & Health Reinsurance,12202425,10805030,3675657,868532,1398428,1591968,1771663,0.5862
2025-11-30,2010,2022,D1,Direct Motor (Private Car),13295689,11992349,4692605,1164076,1775760,2945379,960654,0.6432
2025-11-30,2010,2022,D2,Direct Motor (Commercial),38132505,33494110,12678706,2867448,7545279,6311657,4001454,0.5731
2025-11-30,2010,2022,E1,Energy Offshore,24501119,21874505,12025101,3467808,5682585,7097874,2838960,0.747
2025-11-30,2010,2023,A1,Direct Accident & Health,5858043,5267346,1895390,631600,1237279,953077,533654,0.7497
2025-11-30,2010,2023,A2,Accident & Health Reinsurance,31885440,30219651,13674346,4157531,4036742,5991952,2852998,0.689
2025-11-30,2010,2023,D1,Direct Motor (Private Car),18439455,17500262,5388653,2267464,3639570,3154322,2553818,0.669
2025-11-30,2010,2023,D2,Direct Motor (Commercial),44051897,40775770,18862346,5724512,6516865,9819669,7144378,0.6687
2025-11-30,2010,2023,E1,Energy Offshore,37516449,32441876,13126191,2746149,6065668,6023971,5906413,0.6523
2025-11-30,2010,2024,A1,Direct Accident & Health,6994711,5982473,1676168,668965,1372984,1102354,804783,0.5699
2025-11-30,2010,2024,A2,Accident & Health Reinsurance,15249983,13912914,5847714,1546613,2364869,2778717,1581949,0.6106
2025-11-30,2010,2024,D1,Direct Motor (Private Car),24700674,22206524,8065684,2264825,5426591,5214027,4094153,0.6824
2025-11-30,2010,2024,D2,Direct Motor (Commercial),7120540,6679156,2321265,772502,1707759,1536950,561469,0.7481
2025-11-30,2010,2024,E1,Energy Offshore,16869489,15790450,5476803,1903340,2770077,2531350,2313364,0.6613
2025-11-30,2010,2025,A1,Direct Accident & Health,37712546,34200961,14502343,4118220,6834930,7791348,4885787,0.7028
2025-11-30,2010,2025,A2,Accident & Health Reinsurance,15489850,13772621,5532943,1988433,2758241,2729637,2488655,0.6513
2025-11-30,2010,2025,D1,Direct Motor (Private Car),26507235,24096305,6535068,2036581,4648908,4721683,3201199,0.5623
2025-11-30,2010,2025,D2,Direct Motor (Commercial),46953307,40367401,14617318,3940290,6393736,9644808,3981089,0.6183
2025-11-30,2010,2025,E1,Energy Offshore,48492102,41630187,18008503,5550289,5134532,6947910,5368200,0.6124
2025-11-30,2525,2018,A1,Direct Accident & Health,7508369,7030362,2750391,916810,980374,1635493,907443,0.6422
2025-11-30,2525,2018,A2,Accident & Health Reinsurance,26240917,23328964,9385432,2968357,2790725,5499370,2468726,0.6255
2025-11-30,2525,2018,D1,Direct Motor (Private Car),38740224,35514664,12417121,3585940,9489291,6632344,5389631,0.7123
2025-11-30,2525,2018,D2,Direct Motor (Commercial),10054718,9085276,3510437,756323,2521571,2024542,966641,0.7181
2025-11-30,2525,2018,E1,Energy Offshore,11171185,10141417,4474744,986562,2039852,2372437,1271129,0.6935
2025-11-30,2525,2019,A1,Direct Accident & Health,28308014,25906183,9847418,3621616,4749166,6182603,2609861,0.7091
2025-11-30,2525,2019,A2,Accident & Health Reinsurance,31997960,28847342,11552319,2972383,6264883,6253157,3407944,0.6003
2025-11-30,2525,2019,D1,Direct Motor (Private Car),17518416,15263713,8026872,2030753,2837808,4515993,2097043,0.6654
2025-11-30,2525,2019,D2,Direct Motor (Commercial),46233182,43490795,22666230,5751967,5396006,7999568,5642415,0.7206
2025-11-30,2525,2019,E1,Energy Offshore,21131222,19409675,6007485,1759514,2619932,4486992,1344274,0.5801
2025-11-30,2525,2020,A1,Direct Accident & Health,18660548,16359580,6523905,1557567,3856674,3317906,1822140,0.7192
2025-11-30,2525,2020,A2,Accident & Health Reinsurance,15063796,13174173,5744903,1297726,2321870,2545770,1746406,0.5884
2025-11-30,2525,2020,D1,Direct Motor (Private Car),7483278,6564864,1805870,790696,908162,1370239,868795,0.5904
2025-11-30,2525,2020,D2,Direct Motor (Commercial),7834166,7039657,2362307,1082070,970507,1863904,1338784,0.7428
2025-11-30,2525,2020,E1,Energy Offshore,32313767,29637127,15689720,3292229,7493793,8686059,3191279,0.7294
2025-11-30,2525,2021,A1,Direct Accident & Health,43317374,40860999,16802094,5521276,10261855,11661847,4158997,0.6969
2025-11-30,2525,2021,A2,Accident & Health Reinsurance,11056493,9533214,4242075,878329,1763320,1836828,1402488,0.5976
2025-11-30,2525,2021,D1,Direct Motor (Private Car),20833536,18162694,6634643,1864433,3146671,4325515,3523295,0.7371
2025-11-30,2525,2021,D2,Direct Motor (Commercial),8753090,7768109,3883557,746796,1331685,1909110,1386942,0.6481
2025-11-30,2525,2021,E1,Energy Offshore,14724848,13569935,5926079,936088,3147825,2944320,2073922,0.6226
2025-11-30,2525,2022,A1,Direct Accident & Health,49441062,42295208,23695886,5866088,7039472,9718499,6872634,0.7098
2025-11-30,2525,2022,A2,Accident & Health Reinsurance,29350793,26959432,12019130,2651372,5114122,4322659,5234891,0.7306
2025-11-30,2525,2022,D1,Direct Motor (Private Car),22148575,20900109,8473637,1753410,4350113,3135993,2241078,0.6102
2025-11-30,2525,2022,D2,Direct Motor (Commercial),26285881,24358444,9957987,1972723,6168594,6957595,4599878,0.7259
2025-11-30,2525,2022,E1,Energy Offshore,36614400,34514553,12762547,3631934,8521084,5619600,3167587,0.6974
2025-11-30,2525,2023,A1,Direct Accident & Health,22513405,19928542,8513403,2658890,4362852,4261613,1526377,0.6513
2025-11-30,2525,2023,A2,Accident & Health Reinsurance,8496292,7377958,3071706,945735,867967,1383163,840404,0.6783
2025-11-30,2525,2023,D1,Direct Motor (Private Car),43641911,37784391,13717815,4869169,7814846,8717359,5612711,0.5664
2025-11-30,2525,2023,D2,Direct Motor (Commercial),32535854,28694668,12529298,4000019,4659755,7780092,5164130,0.7085
2025-11-30,2525,2023,E1,Energy Offshore,23911098,21315539,6409917,2645927,4779607,5314279,1884945,0.5897
2025-11-30,2525,2024,A1,Direct Accident & Health,6541496,5983576,2825594,916339,1657069,1151660,986042,0.7346
2025-11-30,2525,2024,A2,Accident & Health Reinsurance,16325020,14885159,5303032,1050565,3122729,2139289,1691931,0.56
2025-11-30,2525,2024,D1,Direct Motor (Private Car),5947235,5313948,2788957,599755,1174676,922928,854161,0.6937
2025-11-30,2525,2024,D2,Direct Motor (Commercial),17787202,16565954,6309443,2296308,2977010,3763908,1722331,0.7392
2025-11-30,2525,2024,E1,Energy Offshore,19466429,17097300,8794724,2068091,3378525,3341835,2092818,0.749
2025-11-30,2525,2025,A1,Direct Accident & Health,22569064,20201516,6394263,2133108,3765807,2926266,2295384,0.5971
2025-11-30,2525,2025,A2,Accident & Health Reinsurance,26692670,23749949,9218979,2750780,4665669,6351355,2206166,0.7449
2025-11-30,2525,2025,D1,Direct Motor (Private Car),42379635,37433349,11199957,4542872,8316848,9233801,5834600,0.5618
2025-11-30,2525,2025,D2,Direct Motor (Commercial),45146674,42030889,12545271,4699825,7065551,12354611,6269048,0.6919
2025-11-30,2525,2025,E1,Energy Offshore,13874358,12569558,5923541,1300259,2587014,3983087,2390319,0.7436
