reporting_period,LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Net_Written_Premium,Gross_Earned_Premium,Net_Earned_Premium,Claims_Incurred_Gross,Claims_Incurred_Net,Claims_Paid_Gross,Claims_Paid_Net,Acquisition_Costs,Administrative_Expenses,Number_Of_Policies,Number_Of_Claims,Sum_Insured
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,JP,Annuities stemming from non-life contracts,11416756.37,9534962.11271573,10887536.761127453,9633583.292983292,8082420.871169587,5871405.19609299,7274340.678268929,4441625.755126628,2015803.2130225159,582710.429688973,8590,274,253644767.65230942
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,CH,Insurance with profit participation,11334299.47,9831014.466871135,10880321.338856282,9340031.256176203,7409364.317376136,7176661.416243907,6477201.563299524,6139250.452079381,1190054.9524584555,1050315.480053876,1817,356,269506086.2388748
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,CH,Index-linked and unit-linked insurance,12352658.7,10782742.398552716,11635769.06456871,9562360.448485851,7454215.631240885,5884539.930546629,7050494.812669397,6200630.740588158,2162464.3026171545,1248575.7233179254,1153,271,194933447.74364585
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,CH,Other life insurance,26758864.87,24869723.112795487,25448548.07943772,22734243.78673845,21247062.72879177,15602454.3269811,16759892.065344281,9876667.971319549,2651942.3033936624,2163530.38156315,5780,359,636094399.2916565
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,CH,Annuities stemming from non-life contracts,24854379.85,23567900.18016998,23542555.85790261,18841127.546847362,18648064.13447438,14939847.924025064,11175416.847703807,11527723.464435346,3833316.468904196,2583086.4962704973,4602,63,559081284.6280655
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,GB,Insurance with profit participation,10546006.84,9977169.86158658,10192034.15707832,8641401.994133018,6539745.53220768,6673257.342874992,4856919.804441661,4107598.9791889526,1402443.7289057793,741374.973843722,1996,167,257676672.0011345
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,GB,Index-linked and unit-linked insurance,5302282.9,4762728.772888164,4983248.551522212,3976931.1532066497,3084518.3169998,3623600.5182680143,3270653.0778042586,2140691.085445797,836897.4359311992,490991.4576338485,9924,350,156754415.23575118
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,GB,Other life insurance,12460958.47,11242514.634727584,11519501.912294013,10185114.547029577,9856050.120679613,7286485.88466181,5881197.021854932,4706034.504139269,1873540.4205470083,1185534.6298414438,839,441,256808898.75812793
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,GB,Annuities stemming from non-life contracts,28626357.85,22996424.13048003,26944864.75850751,25952135.389819674,18041299.993519727,14687131.005153676,15273739.296366395,15443187.296356753,2585380.2367972345,3320985.2730995854,4915,345,770795979.952838
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,US,Insurance with profit participation,7075007.16,6415624.9415181,6699657.587527562,5790115.783729375,5276699.691090511,4886680.574500727,3054025.6658124872,3160723.7516549327,906267.104873836,540118.9739544452,1159,440,144668592.16089627
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,US,Index-linked and unit-linked insurance,3463522.69,3126974.937078492,3292199.571998028,2712336.3859058656,2611525.1172558456,2253507.0508316346,1806566.186027981,1449981.787948077,498086.6786119961,243037.63673058976,3370,290,64214122.67544173
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,US,Other life insurance,22454410.31,18099350.169781502,20807015.39451435,16866719.88811283,13208487.936309516,10491767.130218782,14571802.862449951,9350606.848902615,2131525.3450633553,1501520.5357150473,9002,383,652118369.9256816
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,US,Annuities stemming from non-life contracts,16564486.24,14158042.642459175,16252036.995866956,13535642.533245366,10497778.643836584,8312400.931141896,8190297.068790788,7004084.325263095,2447078.110609158,1163999.522880217,7745,192,391882552.46022016
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,DE,Insurance with profit participation,3844980.62,3186309.961047136,3647034.746568203,3496169.257944407,2477370.9844833417,2368579.3105642237,1783193.6046549766,1458084.793672466,330105.6588868483,274450.6598088294,3473,349,66767763.188451186
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,DE,Index-linked and unit-linked insurance,6872292.54,6282058.10996448,6330128.206776172,5805903.247190775,4431703.300767642,3962821.589377127,3715900.5261240867,2900619.916846023,752590.8450332367,696425.2710604533,7641,375,192899443.28608045
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,DE,Other life insurance,7392285.71,6022072.433279784,7265476.270906279,5983923.9126054635,5084631.057667802,3990989.981840921,3189405.987313882,3589296.814901513,979581.978227386,474655.33257817884,8556,96,160989461.87361577
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,DE,Annuities stemming from non-life contracts,24314530.11,21605014.077262018,22534322.64990058,20501128.065701865,17644679.444881715,15760091.256538907,13549986.621108292,9363802.192300769,3671915.3361823517,2368573.915291841,8200,228,373626874.3613021
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,FR,Insurance with profit participation,13528934.69,11498817.073925996,13080570.161658993,10643795.856617173,9439380.993518364,9176696.564475643,8109927.923284331,7602385.694059797,2406129.1072407663,686551.6160980267,7190,220,329309411.20317197
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,FR,Index-linked and unit-linked insurance,13559503.14,12596482.461246328,12713756.64578137,12431013.669475041,9538120.512017867,8791769.637307318,5713973.107320731,5317973.584822485,2113117.9497894812,698843.9990240922,5760,393,369539441.3208544
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,FR,Other life insurance,2390572.52,2148091.5518551273,2260421.562904766,2041439.264475434,1730793.2746512778,1280435.595941939,1020752.0234114225,874993.8864412283,332035.22875761264,206655.13267193525,2213,489,62472867.85081873
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,FR,Annuities stemming from non-life contracts,16272594.28,14049218.765969984,15424240.517365575,12277606.861708868,10315023.404235458,11293262.434124444,10062791.580243757,6928170.197403047,2258303.157029333,1778769.8462404443,3134,218,351799087.9216494
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,JP,Insurance with profit participation,2502820.19,2030229.0952308874,2392014.0593474414,2289591.6577118393,1810295.8140415098,1170641.7044325892,1119612.1317819892,1319998.1877472005,410822.8571887243,233359.503209655,7244,405,61735432.64779949
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,JP,Index-linked and unit-linked insurance,2793448.61,2581927.3932956355,2724113.161119358,2218098.6892502294,2031309.7350817511,1407098.1999175018,1145544.5020826063,1106935.8704234378,273374.9475475159,205716.14754064704,8617,197,59435486.64359973
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,JP,Other life insurance,16239088.96,14152578.457460677,15247647.473583832,12259846.583939502,11388073.696337352,8914223.906337813,7708176.517422886,8921697.661047969,2511770.2173618977,1787007.6212790292,7061,466,364157378.95507604
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,JP,Annuities stemming from non-life contracts,5666075.06,5124586.485316618,5294523.120551537,4674563.167041347,3208416.120285905,3718798.615944326,2444827.3053199137,3160040.471131261,942965.5509562988,467569.0100426547,9512,68,148255817.6679574
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,CH,Insurance with profit participation,19344462.07,17805829.601381507,18381617.721964993,17092523.763517335,12875948.727682423,13255627.179523148,10089936.49207957,8828859.5450178,3066236.2504239664,2079731.5982077976,7951,95,451061335.6532067
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,CH,Index-linked and unit-linked insurance,7034338.78,6121026.503553365,6948274.174034845,6176203.281345018,5295384.46933819,3223178.8708292563,3636506.002399358,3508185.5597846285,1146620.2119112439,375979.4690560703,5653,179,195460240.36275917
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,CH,Other life insurance,17355226.23,14397845.273653064,16352230.655389253,13848221.36826704,11848669.085578956,8034105.970427265,7629948.216100329,9318357.653866798,1618555.3242411732,1151306.4655378684,5796,109,378353634.84438384
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,CH,Annuities stemming from non-life contracts,16479384.87,15071082.54364905,15677057.50607042,14572340.776991028,11611153.37268632,7881676.7251654705,7235815.433139071,7424255.505957037,1972400.0955534999,1681689.896606522,7122,492,390743635.5753533
