reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Development_Period,Mean_Claims,Std_Dev_Claims,CV,P10,P25,P50,P75,P90,P95,P99,IQR,Skewness,Kurtosis,Number_Of_Simulations,Simulation_Method,Distribution_Type,Distribution_Param1,Distribution_Param2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",7,54934248.08,4753925.31,0.0865,47327967.58,50180322.77,54934248.08,59688173.4,62540528.59,63491313.65,64251941.7,9507850.629999995,0.0912,3.8965,10000,Bootstrap,Gamma,0.7054,0.7076
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",8,59159959.47,4225711.39,0.0714,52398821.25,54934248.08,59159959.47,63385670.86,65921097.7,66766239.98,67442353.8,8451422.780000001,-0.1208,2.926,10000,Bootstrap,LogNormal,0.5364,0.2096
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",9,63385670.86,3697497.47,0.0583,57469674.92,59688173.4,63385670.86,67083168.33,69301666.81,70041166.31,70632765.9,7394994.93,-0.0349,3.0558,10000,Bootstrap,Gamma,0.9915,0.149
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",10,67611382.26,3169283.54,0.0469,62540528.59,64442098.71,67611382.26,70780665.8,72682235.93,73316092.63,73823178.0,6338567.089999996,1.3704,2.7979,10000,Bootstrap,Gamma,1.5529,0.5816
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",11,71837093.65,2641069.62,0.0368,67611382.26,69196024.03,71837093.65,74478163.27,76062805.04,76591018.96,77013590.1,5282139.239999995,0.6056,2.7638,10000,Bootstrap,Weibull,0.8648,0.8019
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",12,76062805.04,2112855.7,0.0278,72682235.93,73949949.34,76062805.04,78175660.73,79443374.15,79865945.29,80204002.2,4225711.390000001,0.4274,3.6427,10000,Bootstrap,Weibull,1.3189,0.4904
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",13,80288516.43,1584641.77,0.0197,77753089.59,78703874.66,80288516.43,81873158.2,82823943.26,83140871.62,83394414.3,3169283.5400000066,1.1123,4.3718,10000,Bootstrap,Gamma,0.9755,0.8309
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",14,84514227.82,1056427.85,0.0125,82823943.26,83457799.97,84514227.82,85570655.67,86204512.38,86415797.95,86584826.4,2112855.700000003,0.5372,4.0693,10000,Bootstrap,Gamma,1.7993,0.5284
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",15,84514227.82,528213.92,0.0063,83669085.54,83986013.9,84514227.82,85042441.74,85359370.1,85465012.88,85549527.11,1056427.8399999887,1.0125,4.0702,10000,Bootstrap,LogNormal,1.1401,0.8101
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,0,22886933.84,7628977.95,0.3333,10680569.13,15257955.89,22886933.84,30515911.79,35093298.56,36619094.15,37839730.62,15257955.899999999,0.6624,2.616,10000,Bootstrap,LogNormal,0.7343,0.639
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,1,26701422.81,7152166.83,0.2679,15257955.89,19549255.99,26701422.81,33853589.64,38144889.73,39575323.1,40719669.79,14304333.650000002,0.1152,3.1562,10000,Bootstrap,LogNormal,1.9338,0.4293
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,2,30515911.79,6675355.7,0.2188,19835342.66,23840556.08,30515911.79,37191267.49,41196480.91,42531552.05,43599608.97,13350711.410000004,0.6295,3.8356,10000,Bootstrap,Gamma,0.593,0.7068
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,3,34330400.76,6198544.58,0.1806,24412729.43,28131856.18,34330400.76,40528945.34,44248072.09,45487781.01,46479548.14,12397089.160000004,0.5258,3.4535,10000,Bootstrap,LogNormal,0.599,0.3637
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,4,38144889.73,5721733.46,0.15,28990116.2,32423156.27,38144889.73,43866623.2,47299663.27,48444009.96,49359487.32,11443466.930000003,1.2682,2.9343,10000,Bootstrap,Weibull,0.829,0.2848
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,5,41959378.71,5244922.34,0.125,33567502.97,36714456.37,41959378.71,47204301.05,50351254.45,51400238.92,52239426.49,10489844.68,1.2816,4.25,10000,Bootstrap,Weibull,1.8228,0.9224
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,6,45773867.68,4768111.22,0.1042,38144889.74,41005756.47,45773867.68,50541978.9,53402845.63,54356467.87,55119365.67,9536222.43,1.3559,3.7143,10000,Bootstrap,Gamma,1.2143,0.846
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,7,49588356.66,4291300.1,0.0865,42722276.5,45297056.56,49588356.66,53879656.75,56454436.81,57312696.83,57999304.84,8582600.189999998,0.1639,2.5555,10000,Bootstrap,Gamma,0.9973,0.7447
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,8,53402845.63,3814488.97,0.0714,47299663.27,49588356.66,53402845.63,57217334.6,59506027.99,60268925.78,60879244.02,7628977.940000005,-0.2528,4.462,10000,Bootstrap,Gamma,1.7232,0.1908
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,9,57217334.6,3337677.85,0.0583,51877050.04,53879656.75,57217334.6,60555012.45,62557619.17,63225154.74,63759183.19,6675355.700000003,-0.3043,2.997,10000,Bootstrap,Weibull,1.0346,0.5795
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,10,61031823.58,2860866.73,0.0469,56454436.81,58170956.85,61031823.58,63892690.31,65609210.34,66181383.69,66639122.37,5721733.460000001,0.4711,4.6329,10000,Bootstrap,LogNormal,0.7133,0.7278
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,11,64846312.55,2384055.61,0.0368,61031823.58,62462256.94,64846312.55,67230368.16,68660801.52,69137612.64,69519061.54,4768111.219999999,0.5978,4.3421,10000,Bootstrap,Weibull,1.0129,0.5242
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,12,68660801.52,1907244.49,0.0278,65609210.34,66753557.04,68660801.52,70568046.01,71712392.7,72093841.6,72399000.72,3814488.9700000063,-0.4428,2.7903,10000,Bootstrap,LogNormal,1.0625,0.5331
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,13,72475290.5,1430433.37,0.0197,70186597.11,71044857.13,72475290.5,73905723.86,74763983.88,75050070.55,75278939.89,2860866.730000004,-0.3285,4.5625,10000,Bootstrap,Weibull,1.9191,0.6368
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,14,76289779.47,953622.24,0.0125,74763983.88,75336157.23,76289779.47,77243401.71,77815575.06,78006299.51,78158879.07,1907244.4799999893,-0.3932,4.3471,10000,Bootstrap,Gamma,0.8257,0.7603
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,15,76289779.47,476811.12,0.0063,75526881.68,75812968.35,76289779.47,76766590.59,77052677.26,77148039.49,77224329.27,953622.2400000095,0.3687,2.6336,10000,Bootstrap,LogNormal,0.9181,0.4843
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,0,70218775.62,23406258.54,0.3333,32768761.96,46812517.08,70218775.62,93625034.16,107668789.29,112350041.0,116095042.36,46812517.08,-0.2339,3.2175,10000,Bootstrap,LogNormal,0.6253,0.6542
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,1,81921904.89,21943367.38,0.2679,46812517.08,59978537.51,81921904.89,103865272.28,117031292.7,121419966.18,124930904.96,43886734.77,0.4485,4.8225,10000,Bootstrap,Gamma,1.6108,0.8001
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,2,93625034.16,20480476.22,0.2188,60856272.21,73144557.94,93625034.16,114105510.39,126393796.12,130489891.37,133766767.56,40960952.45,-0.1712,3.1666,10000,Bootstrap,Gamma,1.2697,0.1121
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,3,105328163.43,19017585.06,0.1806,74900027.33,86310578.37,105328163.43,124345748.5,135756299.54,139559816.55,142602630.16,38035170.129999995,1.2403,4.4444,10000,Bootstrap,Weibull,0.5869,0.8641
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,4,117031292.7,17554693.91,0.15,88943782.46,99476598.8,117031292.7,134585986.61,145118802.95,148629741.74,151438492.76,35109387.81000002,-0.491,2.7855,10000,Bootstrap,LogNormal,0.583,0.5312
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,5,128734421.98,16091802.75,0.125,102987537.58,112642619.23,128734421.98,144826224.72,154481306.37,157699666.92,160274355.36,32183605.489999995,1.0681,2.9463,10000,Bootstrap,LogNormal,1.6572,0.2664
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,6,140437551.25,14628911.59,0.1042,117031292.71,125808639.66,140437551.25,155066462.83,163843809.79,166769592.1,169110217.96,29257823.170000017,1.4811,4.6337,10000,Bootstrap,Gamma,1.6058,0.6325
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,7,152140680.52,13166020.43,0.0865,131075047.83,138974660.09,152140680.52,165306700.95,173206313.2,175839517.29,177946080.56,26332040.859999985,-0.0149,2.7982,10000,Bootstrap,Gamma,1.1905,0.4624
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,8,163843809.79,11703129.27,0.0714,145118802.95,152140680.52,163843809.79,175546939.06,182568816.62,184909442.47,186781943.16,23406258.53999999,0.849,2.9252,10000,Bootstrap,Gamma,1.3432,0.724
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,9,175546939.06,10240238.11,0.0583,159162558.08,165306700.95,175546939.06,185787177.17,191931320.04,193979367.66,195617805.76,20480476.22,0.0979,4.45,10000,Bootstrap,LogNormal,1.1478,0.2464
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,10,187250068.33,8777346.95,0.0469,173206313.2,178472721.38,187250068.33,196027415.28,201293823.45,203049292.84,204453668.36,17554693.900000006,-0.1105,3.1972,10000,Bootstrap,LogNormal,0.7372,0.6066
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,11,198953197.6,7314455.79,0.0368,187250068.33,191638741.8,198953197.6,206267653.39,210656326.87,212119218.03,213289530.95,14628911.589999974,1.3983,4.7402,10000,Bootstrap,Gamma,0.9856,0.8782
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,12,210656326.87,5851564.64,0.0278,201293823.45,204804762.23,210656326.87,216507891.5,220018830.29,221189143.21,222125393.55,11703129.27000001,1.408,3.2354,10000,Bootstrap,LogNormal,1.8579,0.9977
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,13,222359456.14,4388673.48,0.0197,215337578.58,217970782.66,222359456.14,226748129.62,229381333.7,230259068.4,230961256.15,8777346.960000008,1.0953,3.4756,10000,Bootstrap,Weibull,1.4128,0.4278
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,14,234062585.41,2925782.32,0.0125,229381333.7,231136803.09,234062585.41,236988367.73,238743837.12,239328993.58,239797118.75,5851564.639999986,1.4919,2.6696,10000,Bootstrap,Gamma,1.8396,0.1671
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,15,234062585.41,1462891.16,0.0063,231721959.56,232599694.25,234062585.41,235525476.57,236403211.26,236695789.5,236929852.08,2925782.319999993,-0.4156,4.8498,10000,Bootstrap,LogNormal,1.8009,0.4254
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,0,86814914.12,28938304.71,0.3333,40513626.59,57876609.42,86814914.12,115753218.83,133116201.66,138903862.6,143533991.35,57876609.41,1.2237,4.755,10000,Bootstrap,Gamma,1.3927,0.9625
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,1,101284066.48,27129660.66,0.2679,57876609.42,74154405.81,101284066.48,128413727.14,144691523.54,150117455.67,154458201.38,54259321.33,1.1192,4.8499,10000,Bootstrap,Gamma,0.9223,0.5789
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,2,115753218.83,25321016.62,0.2188,75239592.24,90432202.21,115753218.83,141074235.45,156266845.42,161331048.75,165382411.41,50642033.239999995,1.2353,3.9493,10000,Bootstrap,Weibull,1.7016,0.9758
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,3,130222371.19,23512372.58,0.1806,92602575.07,106709998.61,130222371.19,153734743.76,167842167.31,172544641.82,176306621.43,47024745.14999999,1.1091,3.2884,10000,Bootstrap,LogNormal,0.678,0.3455
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,4,144691523.54,21703728.53,0.15,109965557.89,122987795.01,144691523.54,166395252.07,179417489.19,183758234.9,187230831.46,43407457.05999999,0.8256,2.5274,10000,Bootstrap,LogNormal,0.7846,0.3942
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,5,159160675.89,19895084.49,0.125,127328540.72,139265591.41,159160675.89,179055760.38,190992811.07,194971827.97,198155041.49,39790168.97,1.2504,2.6275,10000,Bootstrap,Gamma,0.5749,0.5966
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,6,173629828.25,18086440.44,0.1042,144691523.54,155543387.81,173629828.25,191716268.69,202568132.96,206185421.04,209079251.52,36172880.879999995,-0.1445,3.1055,10000,Bootstrap,Weibull,0.7764,0.6234
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,7,188098980.6,16277796.4,0.0865,162054506.36,171821184.2,188098980.6,204376777.0,214143454.84,217399014.12,220003461.54,32555592.800000012,-0.3889,4.85,10000,Bootstrap,Gamma,0.6847,0.9564
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,8,202568132.96,14469152.35,0.0714,179417489.19,188098980.6,202568132.96,217037285.31,225718776.72,228612607.19,230927671.57,28938304.71000001,1.0563,4.57,10000,Bootstrap,Weibull,0.7592,0.7027
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,9,217037285.31,12660508.31,0.0583,196780472.01,204376777.0,217037285.31,229697793.62,237294098.61,239826200.27,241851881.6,25321016.620000005,1.1341,3.8951,10000,Bootstrap,Weibull,1.3266,0.2435
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,10,231506437.66,10851864.27,0.0469,214143454.84,220654573.4,231506437.66,242358301.93,248869420.49,251039793.34,252776091.62,21703728.53,0.3285,2.8763,10000,Bootstrap,LogNormal,1.9593,0.7164
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,11,245975590.02,9043220.22,0.0368,231506437.66,236932369.8,245975590.02,255018810.24,260444742.37,262253386.42,263700301.65,18086440.439999998,-0.4032,3.6919,10000,Bootstrap,LogNormal,1.4569,0.1861
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,12,260444742.37,7234576.18,0.0278,248869420.49,253210166.2,260444742.37,267679318.55,272020064.26,273466979.49,274624511.68,14469152.350000024,0.83,2.9433,10000,Bootstrap,LogNormal,1.1118,0.663
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,13,274913894.73,5425932.13,0.0197,266232403.31,269487962.59,274913894.73,280339826.86,283595386.14,284680572.56,285548721.71,10851864.27000004,0.2301,3.4522,10000,Bootstrap,LogNormal,1.7654,0.3783
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,14,289383047.08,3617288.09,0.0125,283595386.14,285765758.99,289383047.08,293000335.17,295170708.02,295894165.64,296472931.73,7234576.180000007,0.8104,4.6229,10000,Bootstrap,LogNormal,0.729,0.1413
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,15,289383047.08,1808644.04,0.0063,286489216.61,287574403.04,289383047.08,291191691.12,292276877.55,292638606.36,292927989.41,3617288.0799999833,1.1511,3.8778,10000,Bootstrap,Weibull,1.7416,0.2917
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,0,77447416.72,25815805.57,0.3333,36142127.8,51631611.15,77447416.72,103263222.29,118752705.64,123915866.75,128046395.64,51631611.14000001,-0.3094,4.708,10000,Bootstrap,LogNormal,1.7338,0.6106
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,1,90355319.51,24202317.72,0.2679,51631611.15,66153001.78,90355319.51,114557637.23,129079027.86,133919491.41,137791862.25,48404635.45,0.7167,3.3646,10000,Bootstrap,Gamma,0.8024,0.5099
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,2,103263222.29,22588829.88,0.2188,67121094.49,80674392.42,103263222.29,125852052.17,139405350.09,143923116.07,147537328.85,45177659.75,0.8149,4.9962,10000,Bootstrap,Weibull,1.7259,0.4909
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,3,116171125.08,20975342.03,0.1806,82610577.83,95195783.05,116171125.08,137146467.11,149731672.32,153926740.73,157282795.45,41950684.06000002,0.9865,2.7701,10000,Bootstrap,Weibull,1.1226,0.4824
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,4,129079027.86,19361854.18,0.15,98100061.18,109717173.69,129079027.86,148440882.04,160057994.55,163930365.39,167028262.06,38723708.349999994,1.4976,3.4775,10000,Bootstrap,LogNormal,0.6249,0.1605
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,5,141986930.65,17748366.33,0.125,113589544.52,124238564.32,141986930.65,159735296.98,170384316.78,173933990.05,176773728.66,35496732.66,0.8968,3.2227,10000,Bootstrap,LogNormal,1.8034,0.5347
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,6,154894833.44,16134878.48,0.1042,129079027.87,138759954.95,154894833.44,171029711.92,180710639.01,183937614.71,186519195.26,32269756.97,0.1607,4.3978,10000,Bootstrap,Weibull,1.1263,0.7636
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,7,167802736.22,14521390.63,0.0865,144568511.21,153281345.59,167802736.22,182324126.86,191036961.24,193941239.37,196264661.87,29042781.27000001,0.9282,4.308,10000,Bootstrap,LogNormal,1.7857,0.8636
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,8,180710639.01,12907902.79,0.0714,160057994.55,167802736.22,180710639.01,193618541.8,201363283.47,203944864.03,206010128.47,25815805.580000013,0.8292,4.8924,10000,Bootstrap,Gamma,0.5311,0.9374
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,9,193618541.8,11294414.94,0.0583,175547477.9,182324126.86,193618541.8,204912956.74,211689605.7,213948488.69,215755595.08,22588829.879999995,-0.2035,3.0291,10000,Bootstrap,Weibull,1.7261,0.4604
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,10,206526444.58,9680927.09,0.0469,191036961.24,196845517.49,206526444.58,216207371.67,222015927.93,223952113.35,225501061.68,19361854.179999977,0.3506,3.1531,10000,Bootstrap,Gamma,0.8367,0.1956
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,11,219434347.37,8067439.24,0.0368,206526444.58,211366908.13,219434347.37,227501786.61,232342250.16,233955738.01,235246528.28,16134878.48000002,-0.1065,3.9169,10000,Bootstrap,LogNormal,1.5599,0.765
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,12,232342250.16,6453951.39,0.0278,222015927.93,225888298.76,232342250.16,238796201.55,242668572.39,243959362.66,244991994.89,12907902.790000021,0.2402,4.8049,10000,Bootstrap,Weibull,0.9931,0.2
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,13,245250152.94,4840463.54,0.0197,237505411.27,240409689.4,245250152.94,250090616.49,252994894.62,253962987.32,254737461.49,9680927.090000004,1.3904,3.8517,10000,Bootstrap,Weibull,1.9571,0.4543
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,14,258158055.73,3226975.7,0.0125,252994894.62,254931080.03,258158055.73,261385031.43,263321216.84,263966611.98,264482928.1,6453951.400000006,1.0148,2.7748,10000,Bootstrap,Gamma,1.7811,0.2536
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,15,258158055.73,1613487.85,0.0063,255576475.17,256544567.88,258158055.73,259771543.58,260739636.29,261062333.86,261320491.91,3226975.700000018,-0.3626,2.7444,10000,Bootstrap,Weibull,1.3361,0.3627
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,0,87071574.23,29023858.08,0.3333,40633401.31,58047716.15,87071574.23,116095432.31,133509747.15,139314518.77,143958336.06,58047716.160000004,1.2054,4.5083,10000,Bootstrap,Gamma,1.7145,0.9016
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,1,101583503.27,27209866.95,0.2679,58047716.15,74373636.32,101583503.27,128793370.22,145119290.38,150561263.77,154914842.49,54419733.900000006,1.2304,4.8205,10000,Bootstrap,Weibull,1.9015,0.3685
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,2,116095432.31,25395875.82,0.2188,75462031.0,90699556.49,116095432.31,141491308.13,156728833.62,161808008.78,165871348.91,50791751.64,-0.0609,4.1077,10000,Bootstrap,Weibull,0.685,0.29
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,3,130607361.35,23581884.69,0.1806,92876345.85,107025476.66,130607361.35,154189246.03,168338376.85,173054753.78,176827855.33,47163769.370000005,1.0459,4.1233,10000,Bootstrap,Weibull,1.4763,0.9556
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,4,145119290.38,21767893.56,0.15,110290660.69,123351396.83,145119290.38,166887183.94,179947920.08,184301498.79,187784361.76,43535787.11,0.8352,3.577,10000,Bootstrap,Gamma,0.9205,0.4047
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,5,159631219.42,19953902.43,0.125,127704975.54,139677317.0,159631219.42,179585121.85,191557463.31,195548243.79,198740868.18,39907804.849999994,0.0556,2.5875,10000,Bootstrap,LogNormal,0.8924,0.8518
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,6,174143148.46,18139911.3,0.1042,145119290.39,156003237.16,174143148.46,192283059.76,203167006.54,206794988.8,209697374.61,36279822.599999994,0.9565,4.0546,10000,Bootstrap,Gamma,1.8533,0.3377
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,7,188655077.5,16325920.17,0.0865,162533605.23,172329157.33,188655077.5,204980997.67,214776549.77,218041733.8,220653881.03,32651840.339999974,0.6554,2.5783,10000,Bootstrap,LogNormal,1.838,0.503
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,8,203167006.54,14511929.04,0.0714,179947920.08,188655077.5,203167006.54,217678935.58,226386093.0,229288478.81,231610387.45,29023858.080000013,-0.1443,3.0983,10000,Bootstrap,Weibull,1.7724,0.1979
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,9,217678935.58,12697937.91,0.0583,197362234.92,204980997.67,217678935.58,230376873.49,237995636.23,240535223.81,242566893.88,25395875.820000023,1.3504,3.4337,10000,Bootstrap,LogNormal,0.8766,0.3987
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,10,232190864.62,10883946.78,0.0469,214776549.77,221306917.84,232190864.62,243074811.39,249605179.46,251781968.82,253523400.3,21767893.549999982,0.318,3.8703,10000,Bootstrap,LogNormal,1.3802,0.503
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,11,246702793.65,9069955.65,0.0368,232190864.62,237632838.01,246702793.65,255772749.3,261214722.69,263028713.82,264479906.73,18139911.29000002,0.3927,3.2132,10000,Bootstrap,Weibull,1.0757,0.5204
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,12,261214722.69,7255964.52,0.0278,249605179.46,253958758.17,261214722.69,268470687.21,272824265.92,274275458.83,275436413.15,14511929.039999992,0.6952,2.8267,10000,Bootstrap,LogNormal,1.646,0.7125
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,13,275726651.73,5441973.39,0.0197,267019494.31,270284678.34,275726651.73,281168625.12,284433809.15,285522203.83,286392919.57,10883946.780000031,0.0975,3.6484,10000,Bootstrap,Weibull,1.9204,0.1184
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,14,290238580.77,3627982.26,0.0125,284433809.15,286610598.51,290238580.77,293866563.03,296043352.39,296768948.84,297349426.0,7255964.519999981,1.1227,3.7793,10000,Bootstrap,Weibull,1.4282,0.7161
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,15,290238580.77,1813991.13,0.0063,287336194.96,288424589.64,290238580.77,292052571.9,293140966.58,293503764.8,293794003.38,3627982.2599999905,0.412,2.9796,10000,Bootstrap,Gamma,1.8644,0.7662
