LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Assumption_Type,Assumption_Code,Unit,Best_Estimate_Value,Upper_Bound,Lower_Bound,Year_1,Year_2,Year_5,Year_10,Year_20,Ultimate,Source,Last_Review_Date
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Longevity,qx,Per mille,2.2267,5.4456,0.1735,0.9506,4.1337,1.1086,3.1792,2.0423,1.5169,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Morbidity,i,Per mille,3.3776,6.4253,0.22,3.1678,2.7107,1.8657,3.0158,3.5127,0.6201,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Lapse,lapse_rate,Percentage,2.5964,5.2673,0.1559,3.0223,4.3979,4.4726,0.8147,2.386,3.1235,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Expense,expense_per_policy,GBP,1.1618,7.3198,0.3233,4.565,0.5382,1.4751,4.2223,3.5176,4.5248,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Expense_Inflation,inflation_rate,Percentage,0.7573,6.8312,0.2707,0.6605,2.8108,3.2428,1.3608,1.73,3.3816,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Discount_Rate,rate,Percentage,2.6074,7.5882,0.2027,1.7,4.9319,4.6001,0.6305,3.9683,0.9965,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Mortality,qx,Per mille,0.6237,5.8937,0.1808,4.1869,3.698,4.9172,3.7018,2.3821,3.6452,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Longevity,qx,Per mille,4.9976,7.1594,0.3285,4.7226,1.0114,3.6715,4.3286,4.7947,1.4494,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Morbidity,i,Per mille,2.7677,7.0736,0.1742,3.2021,1.6591,2.0006,2.4868,2.8814,2.5221,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Lapse,lapse_rate,Percentage,2.7194,5.9659,0.1477,0.7131,1.3819,3.1187,4.0375,1.2616,0.9885,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Expense,expense_per_policy,GBP,3.8718,5.985,0.3854,3.7144,1.9704,1.8029,2.8566,0.8562,1.0295,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Expense_Inflation,inflation_rate,Percentage,1.2914,7.3467,0.2542,0.5476,3.5308,2.4066,2.7988,1.4635,2.983,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,Discount_Rate,rate,Percentage,4.9062,5.313,0.1852,1.5935,1.6185,2.2042,4.1815,4.6079,1.41,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Mortality,qx,Per mille,2.9433,6.947,0.2565,2.4533,1.3639,2.697,2.3055,4.08,3.9362,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Longevity,qx,Per mille,1.103,5.3567,0.3724,2.9098,4.3601,0.7617,2.8693,2.9274,4.3732,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Morbidity,i,Per mille,0.9392,5.7973,0.222,4.3963,4.725,4.9673,4.8164,0.5267,0.7147,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Lapse,lapse_rate,Percentage,1.1642,6.1117,0.349,4.517,1.3408,3.2885,4.6281,2.5868,0.9659,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Expense,expense_per_policy,GBP,2.5602,6.1898,0.2733,2.474,0.5781,4.973,2.9459,2.6313,4.7958,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Expense_Inflation,inflation_rate,Percentage,1.2014,5.6488,0.3424,1.6737,4.0965,1.7219,0.6493,2.8266,1.3851,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,Discount_Rate,rate,Percentage,3.9103,6.9595,0.3771,4.0234,1.3135,4.1007,3.3878,3.5103,4.2452,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Mortality,qx,Per mille,3.0822,6.4514,0.291,1.8408,1.3217,3.2746,1.5523,0.8596,0.5025,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Longevity,qx,Per mille,3.2374,6.1502,0.3257,2.1883,2.687,2.3319,3.4276,2.1026,4.837,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Morbidity,i,Per mille,4.7127,7.5593,0.3761,2.5211,2.9139,3.8394,3.6327,4.5081,3.7235,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Lapse,lapse_rate,Percentage,4.9905,6.1107,0.3499,3.6394,3.6112,1.9663,4.0352,4.5517,1.4835,Internal Experience,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Expense,expense_per_policy,GBP,3.3147,6.2372,0.3969,2.6547,1.5274,2.2184,3.4423,0.8424,3.2162,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Expense_Inflation,inflation_rate,Percentage,4.6905,7.5661,0.1203,4.9703,3.6443,1.2303,0.5559,1.2708,4.2718,Industry Tables,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,Discount_Rate,rate,Percentage,0.5974,5.7761,0.3272,3.1375,4.0223,3.8577,0.7277,4.5163,1.5216,Internal Experience,2024-06-30
