reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Projection_Year,Calendar_Year,Claims_Payments,Expenses_Claims_Handling,Expenses_Administration,Total_Outflows,Premium_Receivables,RI_Recoveries,Salvage_Subrogation,Total_Inflows,Net_Cash_Flow,Discount_Factor,Present_Value
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",19,2043,248558.48,19884.68,7456.75,275899.91,0.0,62121.6,10419.37,53402.97,202827.35,0.621885,154574.8
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",20,2044,193577.54,15486.2,5807.33,214871.06,0.0,33999.1,8195.21,67769.3,144496.1,0.606531,117410.71
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,1,2025,18618201.91,1489456.15,558546.06,20666204.12,2792730.29,3185433.84,510041.48,7740554.13,12219347.65,0.97531,18158516.86
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,2,2026,14499870.22,1159989.62,434996.11,16094855.95,2174980.53,4299967.53,462715.82,3299888.79,11098118.47,0.951229,13792703.21
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,3,2027,11292510.28,903400.82,338775.31,12534686.42,0.0,1829362.88,634042.79,4659929.59,7448309.46,0.927743,10476552.86
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,4,2028,8794615.85,703569.27,263838.48,9762023.6,0.0,2374372.94,384048.97,2109587.88,6026240.48,0.904837,7957697.5
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,5,2029,6849253.71,547940.3,205477.61,7602671.62,0.0,1971315.78,182439.09,2854054.55,5197548.81,0.882497,6044445.19
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,6,2030,5334204.15,426736.33,160026.12,5920966.61,0.0,831380.67,255340.72,2156951.48,4241975.49,0.860708,4591192.06
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,7,2031,4154282.37,332342.59,124628.47,4611253.43,0.0,927723.38,297459.05,955863.78,3456313.96,0.839457,3487341.5
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,8,2032,3235358.37,258828.67,97060.75,3591247.79,0.0,896084.85,202198.93,1308611.66,2454870.55,0.818731,2648887.39
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,9,2033,2519699.63,201575.97,75590.99,2796866.59,0.0,633135.92,135146.32,727833.21,1924476.43,0.798516,2012021.02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,10,2034,1962344.04,156987.52,58870.32,2178201.89,0.0,370136.94,91085.63,530213.3,1323753.25,0.778801,1528275.08
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,11,2035,1528275.08,122262.01,45848.25,1696385.34,0.0,303025.28,108689.75,451254.08,1222009.87,0.759572,1160835.15
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,12,2036,1190221.83,95217.75,35706.65,1321146.23,0.0,209811.92,54113.61,272220.42,806642.15,0.740818,881738.02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,13,2037,926945.69,74155.66,27808.37,1028909.72,0.0,224891.35,52325.07,234835.18,690467.61,0.722527,669743.62
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,14,2038,721906.03,57752.48,21657.18,801315.69,0.0,201769.79,21983.55,147848.26,563374.76,0.704688,508718.58
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,15,2039,562220.98,44977.68,16866.63,624065.29,0.0,88844.82,44301.0,198129.52,418336.98,0.687289,386408.45
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,16,2040,437858.14,35028.65,13135.74,486022.54,0.0,93920.08,23812.58,97491.79,366051.07,0.67032,293505.09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,17,2041,341004.26,27280.34,10230.13,378514.73,0.0,83152.63,10584.33,116161.49,230740.98,0.65377,222938.28
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,18,2042,265574.39,21245.95,7967.23,294787.57,0.0,40535.39,15358.44,96170.02,203626.32,0.637628,169337.71
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,19,2043,206829.54,16546.36,6204.89,229580.79,0.0,36716.89,11625.02,44287.94,159640.9,0.621885,128624.2
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,20,2044,161079.01,12886.32,4832.37,178797.7,0.0,37547.93,9554.45,68276.38,132096.32,0.606531,97699.36
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,1,2025,61249405.49,4899952.44,1837482.16,67986840.1,9187410.82,18156538.26,4063235.43,26894914.41,50436238.05,0.97531,59737152.28
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,2,2026,47701084.96,3816086.8,1431032.55,52948204.31,7155162.74,12361133.58,1169776.34,10125150.21,38996586.85,0.951229,45374675.6
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,3,2027,37149642.32,2971971.39,1114489.27,41236102.98,0.0,8301027.35,2558733.66,10336128.92,27101777.51,0.927743,34465338.68
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,4,2028,28932170.53,2314573.64,867965.12,32114709.29,0.0,7378513.82,2167586.77,6421216.59,23790797.36,0.904837,26178910.48
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,5,2029,22532397.06,1802591.77,675971.91,25010960.74,0.0,6060131.2,877239.31,6507449.86,14855435.78,0.882497,19884770.62
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,6,2030,17548248.48,1403859.88,526447.45,19478555.81,0.0,2673670.3,853202.29,3928788.06,12087239.92,0.860708,15103917.44
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,7,2031,13666589.66,1093327.17,409997.69,15169914.52,0.0,3785851.43,741572.44,4898216.56,9395723.89,0.839457,11472514.64
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,8,2032,10643550.73,851484.06,319306.52,11814341.31,0.0,2919518.2,767174.22,3521226.09,8860878.96,0.818731,8714202.3
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,9,2033,8289205.64,663136.45,248676.17,9201018.26,0.0,2293824.58,529509.9,3179067.68,5562709.3,0.798516,6619065.14
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,10,2034,6455639.84,516451.19,193669.2,7165760.23,0.0,1230608.96,155005.29,1305138.66,4400563.76,0.778801,5027657.37
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,11,2035,5027657.37,402212.59,150829.72,5580699.68,0.0,1418166.79,172913.42,2224931.9,3868572.19,0.759572,3818868.38
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,12,2036,3915543.49,313243.48,117466.3,4346253.28,0.0,726680.91,195103.11,997577.53,3315661.52,0.740818,2900705.96
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,13,2037,3049428.34,243954.27,91482.85,3384865.46,0.0,844965.33,65789.37,1332429.44,2421895.69,0.722527,2203295.39
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,14,2038,2374897.18,189991.77,71246.92,2636135.87,0.0,385581.63,143059.69,859075.53,1647603.32,0.704688,1673561.76
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,15,2039,1849571.78,147965.74,55487.15,2053024.68,0.0,487856.01,46653.38,596230.36,1205892.4,0.687289,1271190.86
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,16,2040,1440447.95,115235.84,43213.44,1598897.23,0.0,425379.58,93764.26,345294.13,1034723.9,0.67032,965561.14
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,17,2041,1121821.99,89745.76,33654.66,1245222.41,0.0,195291.66,74036.94,240882.2,917741.63,0.65377,733413.32
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,18,2042,873675.85,69894.07,26210.28,969780.19,0.0,254527.5,52942.73,221250.86,630809.7,0.637628,557080.32
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,19,2043,680419.43,54433.55,20412.58,755265.57,0.0,150771.41,38292.3,249826.73,517692.32,0.621885,423142.68
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,20,2044,529911.19,42392.9,15897.34,588201.42,0.0,107411.45,38924.65,116764.88,393857.13,0.606531,321407.38
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,1,2025,50068743.08,4005499.45,1502062.29,55576304.81,7510311.46,7967484.14,3120289.73,20274231.27,39162081.5,0.97531,48832541.4
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,2,2026,38993576.31,3119486.11,1169807.29,43282869.71,5849036.45,5924704.8,1201322.74,11133768.38,27168306.65,0.951229,37091837.16
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,3,2027,30368227.77,2429458.22,911046.83,33708732.82,0.0,8940340.08,1794629.7,8328265.97,25386001.13,0.927743,28173925.5
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,4,2028,23650799.57,1892063.97,709523.99,26252387.52,0.0,6174966.68,876887.28,6970372.93,16316350.11,0.904837,21400128.41
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,5,2029,18419261.22,1473540.9,552577.84,20445379.96,0.0,5445859.03,940078.38,7810027.79,13248973.75,0.882497,16254940.98
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,6,2030,14344935.06,1147594.81,430348.05,15922877.92,0.0,4004047.79,333278.9,6390992.47,11940822.55,0.860708,12346800.03
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,7,2031,11171846.66,893747.73,335155.4,12400749.79,0.0,2284424.14,742741.57,4335396.88,9275436.41,0.839457,9378285.11
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,8,2032,8700642.93,696051.43,261019.29,9657713.65,0.0,1706093.82,417032.26,3621641.78,7010246.27,0.818731,7123483.94
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,9,2033,6776067.53,542085.4,203282.03,7521434.95,0.0,1416333.69,479362.83,1434754.44,5464283.6,0.798516,5410799.82
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,10,2034,5277206.69,422176.54,158316.2,5857699.43,0.0,955252.93,196139.28,1706140.51,3904852.74,0.778801,4109892.71
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,11,2035,4109892.71,328791.42,123296.78,4561980.9,0.0,937407.0,216536.01,1162614.35,2815463.51,0.759572,3121759.93
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,12,2036,3200787.66,256063.01,96023.63,3552874.3,0.0,849079.93,140830.08,1044929.83,2493219.44,0.740818,2371201.82
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,13,2037,2492775.93,199422.07,74783.28,2766981.29,0.0,714044.92,155681.76,526885.1,2038372.98,0.722527,1801098.8
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,14,2038,1941375.85,155310.07,58241.28,2154927.19,0.0,579312.87,93863.78,858859.99,1474408.46,0.704688,1368064.44
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,15,2039,1511945.03,120955.6,45358.35,1678258.99,0.0,331028.87,60302.85,550935.71,1052259.44,0.687289,1039143.61
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,16,2040,1177503.97,94200.32,35325.12,1307029.41,0.0,195159.67,25474.39,321570.48,858581.93,0.67032,789304.52
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,17,2041,917041.02,73363.28,27511.23,1017915.53,0.0,213497.7,34448.64,409013.95,649585.12,0.65377,599533.71
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,18,2042,714192.26,57135.38,21425.77,792753.41,0.0,154370.02,18709.39,189372.81,471128.66,0.637628,455389.09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,19,2043,556213.49,44497.08,16686.4,617396.98,0.0,130112.96,36189.41,138456.81,402466.18,0.621885,345900.86
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,20,2044,433179.5,34654.36,12995.39,480829.25,0.0,66056.6,30483.41,171101.95,287046.75,0.606531,262736.65
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,1,2025,27679150.42,2214332.03,830374.51,30723856.96,4151872.56,8118100.84,1204641.56,9177082.36,19958011.89,0.97531,26995749.76
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,2,2026,21556544.02,1724523.52,646696.32,23927763.86,3233481.6,5161061.48,1696271.79,9686985.46,17351789.12,0.951229,20505218.96
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,3,2027,16788253.36,1343060.27,503647.6,18634961.23,0.0,3536389.58,833804.25,4854874.65,14221580.01,0.927743,15575192.71
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,4,2028,13074704.87,1045976.39,392241.15,14512922.4,0.0,3349269.3,613672.87,2654541.87,9859591.57,0.904837,11830482.19
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,5,2029,10182590.39,814607.23,305477.71,11302675.33,0.0,3030229.24,523218.71,2500912.13,6663678.07,0.882497,8986104.48
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,6,2030,7930209.37,634416.75,237906.28,8802532.4,0.0,1611462.67,595508.63,3561762.55,6654029.28,0.860708,6825594.46
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,7,2031,6176053.27,494084.26,185281.6,6855419.12,0.0,1602148.5,330348.22,2147237.93,4680203.29,0.839457,5184531.27
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,8,2032,4809915.12,384793.21,144297.45,5339005.78,0.0,1231614.34,217082.98,1766686.64,3243433.62,0.818731,3938025.43
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,9,2033,3745965.66,299677.25,112378.97,4158021.88,0.0,711187.67,262817.63,1595546.25,2838698.95,0.798516,2991214.34
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,10,2034,2917360.99,233388.88,87520.83,3238270.7,0.0,451448.03,220606.21,1095515.92,2137858.43,0.778801,2272043.02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,11,2035,2272043.02,181763.44,68161.29,2521967.76,0.0,544737.86,104028.88,718726.29,1879802.0,0.759572,1725780.54
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,12,2036,1769468.89,141557.51,53084.07,1964110.46,0.0,308175.37,46395.74,355100.88,1261277.56,0.740818,1310854.79
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,13,2037,1378063.75,110245.1,41341.91,1529650.77,0.0,237181.4,45750.52,279484.76,958359.39,0.722527,995688.76
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,14,2038,1073237.13,85858.97,32197.11,1191293.22,0.0,214547.33,23497.51,377753.75,819695.67,0.704688,756297.42
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,15,2039,835837.92,66867.03,25075.14,927780.09,0.0,137541.62,46556.66,375845.79,701179.24,0.687289,574462.44
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,16,2040,650951.23,52076.1,19528.54,722555.86,0.0,97903.49,44084.17,187735.19,431405.08,0.67032,436345.66
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,17,2041,506961.32,40556.91,15208.84,562727.07,0.0,98552.0,19925.7,167708.41,396553.64,0.65377,331436.0
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,18,2042,394821.88,31585.75,11844.66,438252.28,0.0,103584.81,13721.71,110724.89,280985.39,0.637628,251749.54
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,19,2043,307487.59,24599.01,9224.63,341311.22,0.0,62853.7,24592.67,121299.49,259826.42,0.621885,191221.93
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,20,2044,239471.57,19157.73,7184.15,265813.45,0.0,60817.8,10626.85,71227.48,179056.78,0.606531,145246.85
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,1,2025,30514103.79,2441128.3,915423.11,33870655.21,4577115.57,8368460.53,1461629.26,8357922.58,24563000.8,0.97531,29760707.89
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,2,2026,23764407.93,1901152.63,712932.24,26378492.8,3564661.19,6610380.46,1074762.87,8720400.42,15726356.14,0.951229,22605404.08
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,3,2027,18507739.51,1480619.16,555232.19,20543590.85,0.0,4246040.56,420104.74,3836612.02,14298801.37,0.927743,17170434.77
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,4,2028,14413842.02,1153107.36,432415.26,15999364.64,0.0,2817910.55,930445.64,6111766.52,9770829.78,0.904837,13042183.6
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,5,2029,11225511.45,898040.92,336765.34,12460317.71,0.0,2903797.63,571055.24,2559751.27,8759474.5,0.882497,9906479.09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,6,2030,8742437.11,699394.97,262273.11,9704105.19,0.0,2110599.35,445326.74,3773391.48,6593685.42,0.860708,7524685.35
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,7,2031,6808616.87,544689.35,204258.51,7557564.72,0.0,2032898.22,344200.97,1558921.41,5066252.66,0.839457,5715541.23
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,8,2032,5302556.15,424204.49,159076.68,5885837.32,0.0,940404.7,296031.15,1979354.3,3943442.37,0.818731,4341365.79
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,9,2033,4129634.88,330370.79,123889.05,4583894.72,0.0,679966.87,198711.77,910021.02,3247648.9,0.798516,3297580.43
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,10,2034,3216162.88,257293.03,96484.89,3569940.79,0.0,863717.37,250033.57,762875.53,2432975.97,0.778801,2504750.17
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,11,2035,2504750.17,200380.01,75142.51,2780272.69,0.0,588943.42,188729.4,893742.85,1700980.67,0.759572,1902538.4
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,12,2036,1950701.39,156056.11,58521.04,2165278.55,0.0,420283.88,115648.8,731651.73,1604675.84,0.740818,1445115.13
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,13,2037,1519207.77,121536.62,45576.23,1686320.63,0.0,269015.34,117119.57,326302.82,1286392.87,0.722527,1097669.17
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,14,2038,1183160.2,94652.82,35494.81,1313307.82,0.0,329705.41,70535.71,454036.4,786255.39,0.704688,833758.9
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,15,2039,921446.09,73715.69,27643.38,1022805.16,0.0,143950.13,24055.22,204413.56,699816.42,0.687289,633300.02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,16,2040,717622.94,57409.84,21528.69,796561.46,0.0,130834.57,51390.66,223494.45,566277.76,0.67032,481037.04
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,17,2041,558885.31,44710.82,16766.56,620362.69,0.0,138564.97,21903.38,145752.76,401554.21,0.65377,365382.33
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,18,2042,435260.31,34820.83,13057.81,483138.95,0.0,117302.11,24016.19,114640.89,354114.42,0.637628,277534.23
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,19,2043,338981.07,27118.49,10169.43,376268.99,0.0,53631.52,21000.22,105007.93,269916.42,0.621885,210807.26
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,20,2044,263998.73,21119.9,7919.96,293038.59,0.0,76327.1,17160.46,81969.32,179570.65,0.606531,160123.32
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",1,2025,51747081.83,4139766.55,1552412.45,57439260.83,7762062.27,11338087.26,1268773.21,19651670.99,36656100.7,0.97531,50469441.83
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",2,2026,40300667.85,3224053.43,1209020.04,44733741.32,6045100.18,6340634.42,2988901.49,12927457.73,28460017.72,0.951229,38335181.09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",3,2027,31386191.68,2510895.33,941585.75,34838672.77,0.0,8080625.63,2296029.94,6279647.82,24718836.7,0.927743,29118334.89
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",4,2028,24443590.66,1955487.25,733307.72,27132385.63,0.0,6478816.58,796754.62,7880759.26,16324827.52,0.904837,22117475.46
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",5,2029,19036687.55,1522935.0,571100.63,21130723.18,0.0,4987849.76,1348699.08,4322216.41,15482386.65,0.882497,16799817.79
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",6,2030,14825787.17,1186062.97,444773.62,16456623.76,0.0,3939738.35,605111.53,5523678.85,9636904.35,0.860708,12760673.27
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",7,2031,11546334.66,923706.77,346390.04,12816431.47,0.0,3345777.33,612221.23,4099926.96,9039993.53,0.839457,9692651.69
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",8,2032,8992294.47,719383.56,269768.83,9981446.86,0.0,2106043.5,642102.28,3169113.5,7477560.44,0.818731,7362268.02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",9,2033,7003205.98,560256.48,210096.18,7773558.63,0.0,1662209.14,211968.45,3000107.88,5506799.44,0.798516,5592173.56
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",10,2034,5454102.3,436328.18,163623.07,6054053.55,0.0,1390173.5,431577.14,1193352.88,4012684.08,0.778801,4247659.14
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",11,2035,4247659.14,339812.73,127429.77,4714901.65,0.0,789488.23,245623.39,1706297.08,3581890.14,0.759572,3226403.47
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",12,2036,3308080.27,264646.42,99242.41,3671969.09,0.0,721788.1,222213.99,1420036.12,2602351.25,0.740818,2450686.14
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",13,2037,2576335.5,206106.84,77290.07,2859732.41,0.0,480254.4,145488.88,1139997.57,2183472.07,0.722527,1861472.87
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",14,2038,2006452.11,160516.17,60193.56,2227161.84,0.0,494297.45,146910.95,501788.27,1402942.86,0.704688,1413922.9
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",15,2039,1562626.47,125010.12,46878.79,1734515.38,0.0,457745.08,43931.87,387182.29,1147139.28,0.687289,1073976.42
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",16,2040,1216974.72,97357.98,36509.24,1350841.94,0.0,290172.58,68429.31,332226.8,1015106.34,0.67032,815762.55
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",17,2041,947780.86,75822.47,28433.43,1052036.76,0.0,272264.26,41251.29,292459.53,749220.23,0.65377,619630.49
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",18,2042,738132.48,59050.6,22143.97,819327.05,0.0,184126.69,31693.8,224068.28,531165.88,0.637628,470654.05
