Claim_Reference,Syndicate_Number,Year_of_Account,Risk_Code,Currency,Status,Outstanding_Amount,Paid_Amount,Incurred_Amount
CLM254887,2987,2020,2,CHF,Reopened,461238,196307,91054
CLM838761,4242,2024,2,EUR,Closed,179136,76539,180154
CLM930307,5000,2025,6,USD,Reopened,304637,192079,249081
CLM954017,2525,2020,7,EUR,Reopened,370971,159411,148534
CLM864234,1183,2018,7,CHF,Reopened,26977,100463,646650
CLM948095,4242,2021,2,CAD,Open,183627,45793,264556
CLM435039,4242,2020,2,CHF,Reopened,361285,181029,483325
CLM378095,2987,2021,4,JPY,Open,193753,139562,128282
CLM150486,2987,2024,8,JPY,Closed,97209,222065,532033
CLM468292,5000,2026,7,GBP,Closed,423521,123270,185557
CLM177289,1910,2018,5,GBP,Closed,146906,59906,92804
CLM278368,4242,2024,3,JPY,Open,296809,53813,369366
CLM743453,2525,2025,1,CAD,Reopened,96506,232646,179735
CLM206176,2987,2023,4,USD,Closed,375531,295514,772111
CLM378150,2010,2022,5,USD,Open,36023,210993,614544
CLM980651,2010,2025,3,GBP,Closed,12000,229188,106884
CLM963918,623,2025,4,GBP,Open,118502,94565,684191
CLM185916,623,2025,2,EUR,Closed,256910,261427,708150
CLM195563,623,2026,7,USD,Closed,474253,204987,402345
CLM567429,1183,2018,5,CAD,Closed,148097,123616,296607
CLM164633,2525,2020,2,GBP,Reopened,190245,288875,449096
CLM338564,2525,2026,1,CHF,Closed,439080,278983,453967
CLM820442,2010,2025,4,CAD,Closed,51395,211991,764003
CLM626491,2987,2026,3,GBP,Closed,100638,92642,237182
CLM232315,2791,2018,7,GBP,Reopened,238271,110863,672694
CLM974625,1183,2022,6,JPY,Open,55627,208475,598390
CLM678870,5000,2023,5,AUD,Closed,490856,11482,749435
CLM716118,2525,2026,7,GBP,Closed,88455,82699,609116
CLM710981,2525,2019,2,AUD,Open,421957,154995,576652
CLM530849,4242,2022,7,JPY,Closed,309904,253012,54285
CLM388792,1183,2024,3,AUD,Reopened,366942,215616,55666
CLM447596,5000,2021,1,JPY,Closed,492782,145815,405532
CLM454278,2987,2022,5,EUR,Closed,459962,56494,254030
CLM415076,1183,2025,6,EUR,Reopened,228508,51812,212064
CLM321659,1910,2024,8,CHF,Reopened,464656,201036,73936
CLM929937,2010,2020,2,EUR,Reopened,275706,216489,157239
CLM696296,2010,2018,3,USD,Open,448816,35213,276609
CLM578621,2987,2018,6,JPY,Open,153643,198122,501768
CLM516224,2010,2019,1,USD,Closed,266265,238886,201209
CLM715388,1910,2026,6,EUR,Open,449171,140612,737312
CLM398916,33,2018,7,GBP,Open,457648,117364,247103
CLM810614,2791,2021,5,JPY,Closed,279107,15513,730338
CLM597126,2987,2020,3,AUD,Open,127319,137325,652894
CLM847362,623,2022,7,CAD,Closed,250647,137119,243808
CLM416822,1910,2026,7,AUD,Open,13852,273180,709530
CLM688730,4242,2022,5,JPY,Open,262569,38469,367618
CLM771712,623,2023,5,EUR,Reopened,382817,161652,212509
CLM642421,1183,2021,1,CHF,Reopened,221863,172554,728824
