reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,Net_Written_Premium,Net_Earned_Premium,Net_Paid_Claims,Net_Case_Reserves,Net_IBNR,RI_Recoveries,Net_Ultimate_Loss_Ratio
2025-11-30,1910,2024,D1,26856070,25419881,7347034,2587576,3165521,6628463,0.5439
2025-11-30,1910,2024,D2,10143250,9319735,4796566,691242,1521423,1933823,0.6445
2025-11-30,1910,2024,E1,16835096,14681279,5926106,1543026,2963867,3584775,0.6634
2025-11-30,1910,2025,A1,13444922,12409410,4596056,751260,1633663,2344716,0.5892
2025-11-30,1910,2025,A2,33829148,31672039,9204172,2344412,4565343,6668896,0.537
2025-11-30,1910,2025,D1,4412460,4141205,1724180,368858,381446,536239,0.562
2025-11-30,1910,2025,D2,31614886,29746860,12864416,1562641,3728886,6607975,0.5491
2025-11-30,1910,2025,E1,3791114,3365703,1073467,382728,605706,745607,0.6207
2025-11-30,2010,2018,A1,5935344,5502133,1656953,543238,712199,1299009,0.5264
2025-11-30,2010,2018,A2,3630566,3124588,1684224,285806,620982,473237,0.6915
2025-11-30,2010,2018,D1,35240804,33099538,15959127,2544182,4737461,4812883,0.6519
2025-11-30,2010,2018,D2,39475441,36031152,12271155,4095045,3490570,5704626,0.6384
2025-11-30,2010,2018,E1,37329030,33279892,11386364,2589732,4065485,5890799,0.6773
2025-11-30,2010,2019,A1,26710226,23307034,12030148,1997016,4705554,5967538,0.6311
2025-11-30,2010,2019,A2,10543618,10006703,3263963,1108141,1077100,1175017,0.5984
2025-11-30,2010,2019,D1,25395891,23931359,9654621,2254972,3042975,3217917,0.5237
2025-11-30,2010,2019,D2,38599953,33510029,12640175,3705382,5333124,7477341,0.567
2025-11-30,2010,2019,E1,22260616,19152861,9192344,1853675,3651202,4933128,0.5697
2025-11-30,2010,2020,A1,8125069,7606457,3973133,843236,782350,992615,0.6578
2025-11-30,2010,2020,A2,32977220,30621149,12610242,1842711,4759395,8044390,0.6443
2025-11-30,2010,2020,D1,21688217,19135629,5601144,1798217,2104694,3776590,0.5289
2025-11-30,2010,2020,D2,35298727,31465088,15511917,2555367,5960498,6992435,0.6387
2025-11-30,2010,2020,E1,19502614,17648577,6878282,1453650,2434949,2623436,0.5766
2025-11-30,2010,2021,A1,8611490,7683034,3307774,792501,1351476,1769351,0.6162
2025-11-30,2010,2021,A2,18783539,16347839,7581096,1249648,2207171,2254755,0.5723
2025-11-30,2010,2021,D1,10392465,9196653,3748652,886733,1422701,1498641,0.5119
2025-11-30,2010,2021,D2,12673087,11471045,6166068,1032248,1335098,1694240,0.6671
2025-11-30,2010,2021,E1,12247689,11262706,3160138,982861,1572635,2005023,0.5234
2025-11-30,2010,2022,A1,6629471,6074416,2004064,695046,1174453,692964,0.6403
2025-11-30,2010,2022,A2,27511124,24058603,6594207,2370415,2833466,5909737,0.5283
2025-11-30,2010,2022,D1,34525377,31929438,14772378,2462568,4346678,5199540,0.6487
2025-11-30,2010,2022,D2,3886469,3364083,1547374,180248,552807,682053,0.5574
2025-11-30,2010,2022,E1,3729310,3327894,1586686,270966,535871,517285,0.5793
2025-11-30,2010,2023,A1,36680089,32011868,15015504,2206369,2810868,5745350,0.5612
2025-11-30,2010,2023,A2,11397557,10144284,3450934,881432,1981636,2808336,0.6486
2025-11-30,2010,2023,D1,8181424,7337457,2951964,782490,1459306,1020417,0.6633
2025-11-30,2010,2023,D2,27929475,24283926,8481181,1542910,4017612,6339750,0.6293
2025-11-30,2010,2023,E1,4882327,4229442,1289214,270691,326292,1154441,0.5479
2025-11-30,2010,2024,A1,15599273,14255222,4376822,1017937,2816256,2881490,0.6103
2025-11-30,2010,2024,A2,35467737,31263321,13237397,1459943,3326209,5049198,0.5091
2025-11-30,2010,2024,D1,29718480,26195272,10114385,2061132,2555611,5979446,0.6
2025-11-30,2010,2024,D2,25234387,23320235,7047319,2358631,2157382,4745990,0.5815
2025-11-30,2010,2024,E1,28643084,26835167,7865606,1639252,4141134,3202667,0.5954
2025-11-30,2010,2025,A1,9260643,8085995,3291501,947402,929556,1924205,0.6906
2025-11-30,2010,2025,A2,36663142,33835389,14274986,3826814,4013309,7985334,0.6033
2025-11-30,2010,2025,D1,25751294,23494117,10522051,1207397,3568914,5212860,0.5582
2025-11-30,2010,2025,D2,19046442,17352046,4875570,982752,2404274,3326050,0.5418
2025-11-30,2010,2025,E1,4002724,3750735,1299238,374227,551436,452608,0.5285
2025-11-30,2525,2018,A1,9315883,8076607,2965624,477951,1231938,1425379,0.591
2025-11-30,2525,2018,A2,7773716,7207743,2196786,530370,691817,1799604,0.5358
2025-11-30,2525,2018,D1,12425254,11768803,5098781,994553,1466798,2004876,0.688
2025-11-30,2525,2018,D2,11655985,10504932,4369718,763476,925706,1888026,0.5882
2025-11-30,2525,2018,E1,33205181,31131638,12013683,2606547,4328228,7011485,0.5526
2025-11-30,2525,2019,A1,19429376,17604569,6171754,1125630,2333178,3604538,0.6399
2025-11-30,2525,2019,A2,7897516,7403256,2798899,494166,878828,1423664,0.5446
2025-11-30,2525,2019,D1,34195756,29682850,8609887,3139765,3416265,5641176,0.5218
2025-11-30,2525,2019,D2,29945582,26403872,12688050,2179181,4174603,5133658,0.5657
2025-11-30,2525,2019,E1,21681434,19611033,9411110,1211382,2029720,4016073,0.5909
2025-11-30,2525,2020,A1,28520482,26548386,10039381,2599576,2315432,3756830,0.5125
2025-11-30,2525,2020,A2,4539660,4169074,1664418,450054,423339,501127,0.6905
2025-11-30,2525,2020,D1,30183685,28293509,9123926,1900948,2470844,7061805,0.5163
2025-11-30,2525,2020,D2,15353284,13192219,7368457,1167939,2613724,1914247,0.6661
2025-11-30,2525,2020,E1,26439532,23746996,11114270,2882725,5347467,4376207,0.6884
2025-11-30,2525,2021,A1,29114606,26380477,13895643,1932179,4839161,5437834,0.6646
2025-11-30,2525,2021,A2,12705098,12052523,5249997,1107009,1812513,1873713,0.5647
2025-11-30,2525,2021,D1,13100305,12358591,5337944,993495,2336558,2634363,0.6793
2025-11-30,2525,2021,D2,20636390,17548519,7295422,2035289,1778190,3454517,0.6041
2025-11-30,2525,2021,E1,9539494,8819937,2450153,724183,1255277,1813853,0.5073
2025-11-30,2525,2022,A1,17504727,16546127,7393723,1372842,1222311,3887220,0.5696
2025-11-30,2525,2022,A2,4086577,3599034,1593238,211773,480556,1021060,0.5604
2025-11-30,2525,2022,D1,30786675,27253014,10980441,2371150,4618304,3602256,0.5821
2025-11-30,2525,2022,D2,14798664,13131034,5392990,843030,1737959,2112571,0.5918
2025-11-30,2525,2022,E1,32359703,29777698,14834939,3460170,2796328,3661274,0.6268
2025-11-30,2525,2023,A1,9966708,8488073,3766988,466480,1316266,1929294,0.5179
2025-11-30,2525,2023,A2,39556462,35379708,12841421,1712481,3541284,6451505,0.5199
2025-11-30,2525,2023,D1,17957181,16254100,5700176,1949301,3425861,2740123,0.6554
2025-11-30,2525,2023,D2,34134964,31815213,13148025,3064827,2413613,5331764,0.5826
2025-11-30,2525,2023,E1,18028130,15806359,7022714,1200876,3063265,4261861,0.6015
2025-11-30,2525,2024,A1,19210444,18075220,4423848,794948,2523560,4343778,0.5008
2025-11-30,2525,2024,A2,37827033,34422394,13827811,4418555,7502802,5154866,0.664
2025-11-30,2525,2024,D1,29263885,26760167,11009063,2523625,3530352,3492076,0.5385
2025-11-30,2525,2024,D2,29200085,25327328,14647040,2675102,4035818,3356161,0.6955
2025-11-30,2525,2024,E1,11477881,10480959,4726064,1133116,1606314,1595821,0.6009
2025-11-30,2525,2025,A1,13673877,11901417,4508026,1167063,2199416,2584270,0.6897
2025-11-30,2525,2025,A2,4866856,4401425,2251170,416348,378024,1022649,0.6236
2025-11-30,2525,2025,D1,33447711,31031414,10609169,3045667,3353137,4317241,0.6269
2025-11-30,2525,2025,D2,19458745,18110443,7074452,1331538,1623676,2188028,0.6453
2025-11-30,2525,2025,E1,12648209,11558422,4935118,714721,1603169,2395370,0.6255
